,comment,label,tokenized
104,"dipaksa menggunakan aplikasi ini, tp gak bs dipakai, stuck gabisa masuk, gak ada tulisan setuju nya krn gabisa scroll ke bawah. mau dikecilin font nya ataupun android sudah update pun gak bisa. masa kita gak bisa terbang gara2 gabisa pakai aplikasi ini. tolong solusinya dong min.",,dipaksa menggunakan aplikasi ini tp tidak bs dipakai stuck tidakbisa masuk tidak ada tulisan setuju nya krn tidakbisa scroll ke bawah mau dikecilin font nya ataupun android sudah update pun tidak bisa masa kita tidak bisa terbang tidakbisa pakai aplikasi ini tolong solusinya dong min
105,"lawak sekali kawan login susah otp sering ga dapet tolonglah doperbaiki gausah deh ui keren nambah fitur,yang esensial benerin dulu percuma desain bagus ga berguna chuakz tolong jangan ban saya🙏",,lawak sekali kawan login susah otp sering tidak dapet tolonglah doperbaiki gausah deh ui keren nambah fitur yang esensial benerin dulu percuma desain bagus tidak berguna chuakz tolong jangan ban
106,nice,,nice
107,"udah complete walaupun harus nunggu 3 bulan. cuma scan qr code nya ga bisa, suruh periksa jaringan terus. padahal gps dan internet udah oke, buktinya bisa buat order ojol dan buka gmaps. tolong diperbaiki. masa mau ngakses doang sampe 3 menit, lama banget. itu juga belum tentu bisa. duh.",,udah complete walaupun harus nunggu bulan cuma scan qr code nya tidak bisa suruh periksa jaringan terus padahal gps dan internet udah oke buktinya bisa buat order ojol dan buka gmaps tolong diperbaiki masa mau ngakses doang sampe menit lama banget itu juga belum tentu bisa duh
108,"aplikasi bosokkk!!! , data sudah lengkap tapi sertifikat gak ada padahal sudah vaksin dosis ke 3",,aplikasi bosokkk data sudah lengkap tapi sertifikat tidak ada padahal sudah vaksin dosis ke
109,saya tidak dapat scroll di bagian syarat penggunaan dan kebijakan privasi.,,saya tidak dapat scroll di bagian syarat penggunaan dan kebijakan privasi
110,"to get ""i agree button"", for android please make the application auto full-screen. it's working now.",,to get i setuju button for android please make the application auto it working now
111,awful app not responsive at all,,awful app not responsive at all
112,"versi terbaru malah susah check in, krn lokasi selalu out of radius. dulu di apps bisa di-set lokasinya agar sesuai dg qr di lokasi, tp versi baru ini ga bisa set lokasi lagi (walau gps selalu on). jadinya hrs kasih lihat sertifikat vaksin terus, ga bisa check in pakai apps. pls fix it, tq.",,versi terbaru malah susah check in krn lokasi selalu out of radius dulu di apps bisa lokasinya agar sesuai dg qr di lokasi tp versi baru ini tidak bisa set lokasi lagi walau gps selalu on jadinya hrs kasih lihat sertifikat vaksin terus tidak bisa check in pakai apps pls fix it tq
113,ngatri vaksin nya lama banget bah masa berangkat jam 7 pulang jam 12 🗿🤙,,ngatri vaksin nya lama banget bah masa berangkat jam pulang jam
114,"masuk mall selalu gk bs scan code, udh bbrapa kali update, ttp gk bs scan. sangat mengecewakan, ini aplikasi punya negara lho, tp terkesan msh amatiran.",,masuk mall selalu tidak bs scan code udh bbrapa kali update ttp tidak bs scan sangat mengecewakan ini aplikasi punya negara lho tp terkesan msh amatiran
115,lemot,,lemot
116,aplikasi sering force close,,aplikasi sering force close
117,tidak bisa scroll ke bawah msalah teratasi. terima kasih tim developer,,tidak bisa scroll ke bawah masalah teratasi terimakasih kasih tim developer
118,"finally, there is option for language. new ui, easy to use, quick access. no more asking location all the time when not using this app.",,finally there is option for language new ui easy to use quick access no more asking location all the time when not using this app
119,terimakasih anda telah memecahkan masalah saya.,,terimakasih anda telah memecahkan masalah saya
120,sangat membantu dan mudah di gunakan. terimakasih,,sangat membantu dan mudah di gunakan terimakasih
121,"ga bisa check out, padahal baru check in.",,tidak bisa check out padahal baru check in
122,"sertifikat vaksin saya ga keluar keluar padahal udh lama vaksin kedua tapi sampe sekarang belom ada sertifikatnya, kepake cuman buat scan kalo pergi kemana mana",,sertifikat vaksin saya tidak keluar keluar padahal udh lama vaksin kedua tapi sampe sekarang belom ada sertifikatnya kepake cuman buat scan kalo pergi kemana mana
123,"totally usless app even tho you can select english via your name it doesn't translate everything the most important part is the vaccine certificates so somehow this has to be able translate the certificates as the english government won't accept this has it's ither got to be in english, french or spanish so as ive said before its not good enough. i did try and contact you via your email address but i came back twice so that definitely need looking into.",,totally usless app even tho you can select english via your name it does translate everything the most important part is the vaccine certificates so somehow this has to be able translate the certificates as the english government wo accept this has it ither got to be in english french or spanish so as ive said before its not good enough i did try and contact you via your email address but i came back twice so that definitely need looking into
124,untuk aplikasi pertama terbit normal.. setelah minta update.. hasil pcr yang sudah pernah saya lakukan menjadi tidak tampil.. / tidak ada riwayat pernah pcr,,untuk aplikasi pertama terbit setelah minta hasil pcr yang sudah pernah saya lakukan menjadi tidak tidak ada riwayat pernah pcr
125,lot!,,lot
126,hard to use,,hard to use
127,"nice, helpfull, foto profil tdk bisa diganti",,nice helpfull foto profil tdk bisa diganti
128,tidak bs scan lokasi. aplikasi selalu menutup setiap kali mau buka menu scan barcode. sudah coba install ulang masalahnya tetap ada.,,tidak bs scan lokasi aplikasi selalu menutup setiap kali mau buka menu scan barcode sudah coba install ulang masalahnya tetap ada
129,sulit digunakan,,sulit digunakan
130,setelah update malah gagal check in. yang sebelumnya lebih baik.,,setelah update malah gagal check in yang sebelumnya lebih baik
131,aplikasi ra mutu....ngono koq d kongkon gae wong sak.indo....aplikasi kelas tempe....aplikasi damen...,,aplikasi ra mutu kok d kongkon gae wong kelas tempe damen
132,"working fine, and easy to use and helpful",,working fine and easy to use and helpful
133,"tolong perbaiki app ini. baru juga di donlod uda bermasalah aja. uda di klik tombol setuju masa gak ada perubahan sama sekali. menyusahkan orang aja. tolonglah diperbaiki, uda banyak juga yg protes dengan aplikasi tapi blm ada pembaharuan yg baik. gimana sih?",,tolong perbaiki app ini baru juga di donlod uda bermasalah aja uda di klik tombol setuju masa tidak ada perubahan sama sekali menyusahkan orang aja tolonglah diperbaiki uda banyak juga yg protes dengan aplikasi tapi belum ada pembaharuan yg baik gimana sih
134,oke,,oke
135,gud app to control covid...covid should be lenyap from bumi nusantara. aamiin,,gud app to control covid covid should be lenyap from bumi nusantara aamiin
136,the dev delete my review. covid certificate isn't showing the card and u need the number. it a 1/10,,the dev delete my review covid certificate is showing the card and u need the number it a
137,"selalu crash saat dipergunakan. apalagi, saat perlu untuk buat ehac. tolong diperbaiki",,selalu crash saat dipergunakan apalagi saat perlu untuk buat ehac tolong diperbaiki
138,notif gajenya ga bs ilang (edit) udah di fix notif bugnya naikin jd 4 bintang,,notif gajenya tidak bs ilang edit udah di fix notif bugnya naikin jd bintang
139,ini sangat membantu untuk memulihkan keadaan bumi khususnya indonesia. semoga lekas pulih,,ini sangat membantu untuk memulihkan keadaan bumi khususnya indonesia semoga lekas pulih
140,"ga bisa scrolling ke ""i accept"", ui nya ga kompatibel di beberapa hp",,tidak bisa scrolling ke i accept ui nya tidak kompatibel di beberapa hp
141,"di ehac tidak bisa ubah vehicle, selalu terisi car, mohon diperbaiki",,di ehac tidak bisa ubah vehicle selalu terisi car mohon diperbaiki
142,"sertifikat vaksin saya tidak bisa keluar, udah berulang kali input nik dan nama tetep ga tampil juga.",,sertifikat vaksin saya tidak bisa keluar udah berulang kali input nik dan nama tetep tidak tampil juga
143,bisakah kita sudahi saja kewajiban menggunakan aplikasi ini? seringkali scan qr code tidak berfungsi dan jadi menghambat.,,bisakah kita sudahi saja kewajiban menggunakan aplikasi ini seringkali scan qr code tidak berfungsi dan jadi menghambat
144,"pelayanan laknat dana sumber daya manusia dikorupsi, orang kayak orang orangan sawah dikirim dari dalem goa. cara kerja handphone dan kartu sim aja gak tau udah kayak masuk support buat minta bantuan malah dijawab saya gatau itu gabisa udah masalah anda. aplikasi yang bikin jg dibayar tepuk tangan doang, interface kayak sampah udah dirobek2.",,pelayanan laknat dana sumber daya manusia dikorupsi orang kayak orang orangan sawah dikirim dari dalem goa cara kerja handphone dan kartu sim aja tidak tau udah kayak masuk support buat minta bantuan malah dijawab saya gatau itu tidakbisa udah masalah anda aplikasi yang bikin jg dibayar tepuk tangan doang interface kayak sampah udah
145,"sangat 👎 untuk kelas pemerintah! pendaftaran di loop terus, validasi email tidak aktif. tolong dong developer nya. buat program yang niat!!!!!!",,sangat untuk kelas pemerintah pendaftaran di loop terus validasi email tidak aktif tolong dong developer nya buat program yang niat
146,"setelah update aplikasi, sertifikat vaksin tidak bisa tampil",,setelah update aplikasi sertifikat vaksin tidak bisa tampil
147,"saya sudah terima vaksin dosis ke dua, di aplikasi pun sudah ada keterangan sudah dosis ke dua. tapi kenapa tidak bisa muncul sertifikatnya?",,saya sudah terimakasih vaksin dosis ke dua di aplikasi pun sudah ada keterangan sudah dosis ke dua tapi kenapa tidak bisa muncul sertifikatnya
148,"sy sdh selesai vaksin kedua pd tgl 22 okt, tp sp skrg msh blm dpt setivikat.",,sy sdh selesai vaksin kedua pd tgl okt tp sp skrg msh belum dpt setivikat
149,bagus,,bagus
150,dari minggu lalu eror terus,,dari minggu lalu error terus
151,lebih sering error nya,,lebih sering error nya
152,"cant check in cause the app says i'm not check out yet at the building. meanwhile i can't find my check in history in this app, like not recorded. how can i freakin' check out if there's no check in record? simplified ui is great, but the basic function and technical issue are still the biggest issue. yet, rubbish app.",,cant check in cause the app says i not check out yet at the building meanwhile i ca find my check in history in this app like not recorded how can i freakin check out if there no check in record simplified ui is great but the basic function and technical issue are still the biggest issue yet rubbish app
153,"mau daftar vaksin tp nunggu otp katanya lewat no telp. pas dicek munculnya lewat email, dah kelewat 2 menit pula dicoba lagi ga muncul² kodenya hdehhh",,mau daftar vaksin tp nunggu otp katanya lewat no telp pas dicek munculnya lewat email dah kelewat menit pula dicoba lagi tidak kodenya hdehhh
154,sangat bermanfaat untuk mengontrol penekanan dampak corna,,sangat bermanfaat untuk mengontrol penekanan dampak corna
155,susah nya,,susah nya
