comment,processed,baku_cleared,label_manual
vaksin luar negeri verifikasi pada aplikasi sertifikat vaksin tidak muncul anda tidak milik sertifikat vaksin,vaksin luar negeri verifikasi aplikasi sertifikat vaksin tidak muncul tidak milik sertifikat vaksin,vaksin luar negeri verifikasi aplikasi sertifikat vaksin tidak muncul tidak milik sertifikat vaksin,-1
applikasi tidak nih kelas perintah kog masuk aja sulit request permision udah izin bolak situ aja,applikasi tidak kelas perintah kog masuk aja sulit request permision udah izin bolak situ aja,tidak kelas perintah masuk aja sulit izin bolak situ aja,-1
aplikasi yg syarat seluruh nasional baru buka aplikasi registrasi aja tidak bisa scroll down setealh ceklist tuju kolom check box terms and condition ukur font setting hp ufah kecil di gimanain coba,aplikasi syarat nasional buka aplikasi registrasi aja tidak bisa scroll down setealh ceklist tuju kolom check box terms and condition ukur font setting hp ufah di gimanain coba,aplikasi syarat nasional buka aplikasi registrasi aja tidak bisa ceklist tuju kolom and ukur ufah coba,-1
pas lihat sertifikat vaksin ke interface daftar vaksin cek data di menu nyata sudah vaksin telah tidak menu cari sertifikat vaksin saya tadi aplikasi ini beres buat nya ribet amatt,pas lihat sertifikat vaksin interface daftar vaksin cek data menu nyata vaksin tidak menu cari sertifikat vaksin tadi aplikasi beres nya ribet amatt,pas lihat sertifikat vaksin daftar vaksin cek data menu nyata vaksin tidak menu cari sertifikat vaksin aplikasi beres amatt,-1
sudah vaksin sertifikat sudah di aplikasi status vaksinasi merah ubah kuning solusi,vaksin sertifikat di aplikasi status vaksinasi merah ubah kuning solusi,vaksin sertifikat aplikasi status vaksinasi merah ubah kuning solusi,-1
hasil pcr negatif antigen negatif status pedulilindung warna covid sulit aktifitas,hasil pcr negatif antigen negatif status pedulilindung warna covid sulit aktifitas,hasil negatif antigen negatif status warna sulit,-1
kunci nikmat era,kunci nikmat era,kunci nikmat era,1
tidak bisa tampil sertifikat vaksin pas butuh,tidak bisa tampil sertifikat vaksin pas butuh,tidak bisa tampil sertifikat vaksin pas butuh,-1
udah vaksin kok sertifikat vaksin tidak,udah vaksin sertifikat vaksin tidak,vaksin sertifikat vaksin tidak,-1
sertifikat vaksin tidak d apliksi d website sdh aplikasi website tidak sinkron,sertifikat vaksin tidak d apliksi d website sdh aplikasi website tidak sinkron,sertifikat vaksin tidak aplikasi tidak sinkron,-1
update oktober tidak bisa buka force close tipe hp asus zenfone laser android,update oktober tidak bisa buka force close tipe hp asus zenfone laser android,oktober tidak bisa buka tipe laser,-1
bang mohon maap aplikasi kan banget location yah kenapa fungsi dasar aja error sih aja gua mancing pake google maps biar lokasi bener apa lu permission location all the time nyadap doang,bang mohon maap aplikasi banget location yah fungsi dasar aja error sih aja gua mancing pake google maps biar lokasi bener lu permission location all the time nyadap doang,bang mohon aplikasi banget fungsi dasar aja sih aja gua maps biar lokasi permission time doang,-1
email pedulilindungi penuh email tidak kirim,email pedulilindungi penuh email tidak kirim,email penuh email tidak kirim,-1
saat scan code pas gps nya tidak bisa,scan code pas gps nya tidak bisa,pas tidak bisa,-1
bisa cek out terimakasih kasih,bisa cek out terimakasih kasih,bisa cek kasih,1
tombol tuju lanjut tidak muncul saya kecil font tulis saran komentar orang sudah bolak uninstall reinstall tampil,tombol tuju tidak muncul kecil font tulis saran komentar orang bolak uninstall reinstall tampil,tombol tuju tidak muncul tulis saran komentar orang bolak tampil,-1
yg wenang tolooooong tanggap email tentang aplikasi peduli lindung yg error status merah vaksin error buat sulit beraktifitas semua akifitas hrs guna aplikasi peduli lindung yg msh error saya sdh email sdh hub yg cm terimakasih keluh solusi terimakasih kasih,wenang tolooooong tanggap email aplikasi peduli lindung error status merah vaksin error sulit beraktifitas akifitas hrs guna aplikasi peduli lindung msh error sdh email sdh hub cm terimakasih keluh solusi terimakasih kasih,wenang tanggap email aplikasi peduli lindung status merah vaksin sulit hrs guna aplikasi peduli lindung error email cm keluh solusi kasih,-1
tidak bisa ke isi formulir vaksin sertifikat sudah vaksin always bounch back,tidak bisa isi formulir vaksin sertifikat vaksin always bounch back,tidak bisa isi formulir vaksin sertifikat vaksin,-1
vaksin,vaksin,vaksin,0
tidak pakai lokasi terus tampil fresh kadang suka ilang tombol check out tidak opsi ganti tema dark mode hemat moga pilih,tidak pakai lokasi tampil fresh kadang suka ilang tombol check out tidak opsi ganti tema dark mode hemat moga pilih,tidak pakai lokasi tampil kadang suka tombol tidak opsi ganti tema mode hemat moga pilih,0
drive bagus,drive bagus,bagus,1
bagus,bagus,bagus,1
aplikasi,aplikasi,aplikasi,1
pantau posisi,pantau posisi,pantau posisi,0
apk yg cool banget sukses y,apk cool banget sukses y,banget sukses,1
paksa,paksa,paksa,-1
susah banget scan qrcode nya,susah banget scan qrcode nya,susah banget,-1
aplikasi sampah diupdate lokasi akurat internet lancar tpi tidak bisa scan qr,aplikasi sampah diupdate lokasi akurat internet lancar tpi tidak bisa scan qr,aplikasi sampah lokasi akurat lancar tidak bisa,-1
tombol i tuju tidak muncul aplikasi tidak bisa guna tidak bisa pls cek dengan display font,tombol i tuju tidak muncul aplikasi tidak bisa guna tidak bisa pls cek display font,tombol tuju tidak muncul aplikasi tidak bisa guna tidak bisa cek,-1
suka salah,suka salah,suka salah,-1
bisa sy guna,bisa sy guna,bisa guna,1
bagus,bagus,bagus,1
akurasi lokasi buruk deteksi lokasi beda banding aplikasi waze,akurasi lokasi buruk deteksi lokasi beda banding aplikasi waze,akurasi lokasi buruk deteksi lokasi beda banding aplikasi,-1
aplikasi tidak dapat dosis status masih kuning jadi hijau dasar penting saya sudah kirim email ini tetapi tidak respons tidak pecah masalah ini penting kami giat jalan bisnis,aplikasi tidak dosis status kuning hijau dasar saya kirim email tetapi tidak respons tidak pecah ini kami giat jalan bisnis,aplikasi tidak dosis status kuning hijau dasar kirim email tidak respons tidak pecah kami giat jalan bisnis,-1
susah error masa dari radius check in update aplikasi tanggal seprember sertifikat vaksin malah hilang sertifikat vaksin tidak padahal selesai vaksin dosis validitas data statistik beberapa fitur tidak relevan,susah error dari radius check in update aplikasi tanggal seprember sertifikat vaksin hilang sertifikat vaksin tidak selesai vaksin dosis validitas data statistik fitur tidak relevan,susah radius aplikasi tanggal sertifikat vaksin hilang sertifikat vaksin tidak selesai vaksin dosis validitas data statistik tidak relevan,-1
tolong baik yg sdh vaksin dua status aplikasi tidak ubah hubung call center tidak respon kirim email tidak di respon jujur wajib pakai aplikasi resah masyarakat,tolong baik sdh vaksin status aplikasi tidak ubah hubung call center tidak respon kirim email tidak respon jujur wajib pakai aplikasi resah masyarakat,tolong baik vaksin status aplikasi tidak ubah hubung tidak kirim email tidak jujur wajib pakai aplikasi resah masyarakat,-1
kode otp hp email tidak sampai coba kapal nabi nuh tidak kode otp pas sampe menit oadahal kobeksi cepet bravo kominfo kira dalam pinter ini aplikasi perintah umum useless andal tagline birokrasi maklum,kode otp hp email tidak coba kapal nabi nuh tidak kode otp pas sampe menit oadahal kobeksi cepet bravo kominfo dalam pinter aplikasi perintah useless andal tagline birokrasi maklum,kode email tidak coba kapal nabi tidak kode pas menit bravo pinter aplikasi perintah andal birokrasi maklum,-1
update aplikasi malah not responding sy sdh hapus instal sama sy bisa guna aplikasi tsb memory sisa software sdh,update aplikasi not responding sy sdh hapus instal sy bisa guna aplikasi tsb memory sisa software sdh,aplikasi not hapus sy bisa guna aplikasi sisa,-1
aneh bgt sama tidak bisa download,aneh bgt tidak bisa download,aneh tidak bisa,-1
masiih suka nyangkut tidak tombol check out pas scan area jadi tidak bisa check out otomatis radius,masiih suka nyangkut tidak tombol check out pas scan area tidak bisa check out otomatis radius,suka tidak tombol pas area tidak bisa otomatis radius,-1
aplikasi tidak bisa buka henti halaman pilih bahasa warga negara itu halaman syarat guna tidak bisa scroll mohon baharu,aplikasi tidak bisa buka henti halaman pilih bahasa warga negara halaman syarat guna tidak bisa scroll mohon baharu,aplikasi tidak bisa buka henti halaman pilih bahasa warga negara halaman syarat guna tidak bisa mohon baharu,-1
saya centang box tuju syarat tentu halaman tidak bisa scroll down saya tidak bisa login,centang box tuju syarat halaman tidak bisa scroll down tidak bisa login,centang tuju syarat halaman tidak bisa tidak bisa,-1
lokasi deteksi aplikasi tidak,lokasi deteksi aplikasi tidak,lokasi deteksi aplikasi tidak,0
tidak bisa unduh sertifikat vaksin sudah vaksin,tidak bisa unduh sertifikat vaksin vaksin,tidak bisa unduh sertifikat vaksin vaksin,-1
tidak bisa check in gatau,tidak bisa check in gatau,tidak bisa,-1
tidak bisa masuk aplikasi terima centang syarat privasi di layar tsb tidak pindah tidak di scroll,tidak bisa masuk aplikasi terima centang syarat privasi layar tsb tidak pindah tidak scroll,tidak bisa masuk aplikasi terima centang syarat privasi layar tidak pindah tidak,-1
temu aplikasi sulit deteksi gps uras baterai,temu aplikasi sulit deteksi gps uras baterai,temu aplikasi sulit deteksi uras baterai,-1
kecil ukur huruf bisa login klik tuju sertifikat vaksin tidak bisa harus via web,ukur huruf bisa login klik tuju sertifikat vaksin tidak bisa via web,ukur huruf bisa klik tuju sertifikat vaksin tidak bisa via,-1
lokasi aktif saya gagal saya,lokasi aktif gagal,lokasi aktif gagal,-1
error tulis sertivikat vaksin tidak sedia gitu mulu,error tulis sertivikat vaksin tidak sedia gitu mulu,tulis vaksin tidak sedia,-1
aplikasi buruk tidak laku salah fatal,aplikasi buruk tidak laku salah fatal,aplikasi buruk tidak laku salah fatal,-1
isoman status hitam ubah,isoman status hitam ubah,status hitam ubah,-1
isi pilih kolom kendara yg guna pilih airplane ketika disubmit ubah car,isi pilih kolom kendara guna pilih airplane disubmit ubah car,isi pilih kolom kendara guna pilih ubah,-1
aplikasi buruk,aplikasi buruk,aplikasi buruk,-1
susah didownload,susah didownload,susah,-1
sehat,sehat,sehat,1
kerja bagus guys,kerja bagus guys,kerja bagus,1
saya download aplikasi yg sulit buka akun yg,download aplikasi sulit buka akun,aplikasi sulit buka akun,-1
update reviewnya sudah ubah sesuai saran akses lokasi tidak saat hanya while in use good job pedulilindungi komentar belum baik aplikasi mungkin izin lokasi while in use whole time,update reviewnya ubah sesuai saran akses lokasi tidak hanya while in use good job pedulilindungi komentar baik aplikasi izin lokasi while in use whole time,ubah sesuai saran akses lokasi tidak pedulilindungi komentar baik aplikasi izin lokasi in whole,1
tidak bagus,tidak bagus,tidak bagus,-1
dapat versi fungsi sederhana kode qr fungsi,versi fungsi sederhana kode qr fungsi,versi fungsi sederhana kode fungsi,-1
harus disetting huruf dahulu keluar tuju tidak aplikasi yg ukur layar hp buat tambah sulit mohon review update kacau,disetting huruf keluar tuju tidak aplikasi ukur layar hp tambah sulit mohon review update kacau,huruf tuju tidak aplikasi ukur layar sulit mohon kacau,-1
baik size tombol hp beda ukur cobaa samsung tombol aggrements privacy bawah jadi tidak bisa pencet ketika scan barcode udah saya lokasi muncul error tidak lokasi i hope the company fix this issue,baik size tombol hp beda ukur cobaa samsung tombol aggrements privacy jadi tidak bisa pencet scan barcode udah lokasi muncul error tidak lokasi i hope the company fix this issue,baik tombol beda ukur tombol jadi tidak bisa pencet udah lokasi muncul tidak lokasi company,-1
update versi aplikasi tidak bisa buka coba install ulang sama,update versi aplikasi tidak bisa buka coba install ulang,versi aplikasi tidak bisa buka coba ulang,-1
guna penuh,guna penuh,guna penuh,-1
paksa guna aplikasi tp tidak bisa pakai stuck tidak bisa masuk tidak tulis tuju nya krn tidak bisa scroll bawah dikecilin font nya android update tidak bisa kita tidak bisa terbang tidak bisa pakai aplikasi tolong solusi min,paksa guna aplikasi tp tidak bisa pakai stuck tidak bisa masuk tidak tulis tuju nya tidak bisa scroll dikecilin font nya android update tidak bisa tidak bisa terbang tidak bisa pakai aplikasi tolong solusi min,paksa guna aplikasi tidak bisa pakai tidak bisa masuk tidak tulis tuju tidak bisa font tidak bisa tidak bisa terbang tidak bisa pakai aplikasi tolong solusi min,-1
lawak kawan login susah otp tidak dapet tolong doperbaiki gausah deh ui keren nambah fitur esensial benerin percuma desain bagus tidak guna chuakz tolong ban,lawak kawan login susah otp tidak dapet tolong doperbaiki gausah deh ui keren nambah fitur esensial benerin desain bagus tidak guna chuakz tolong ban,lawak kawan susah tidak tolong deh keren esensial desain bagus tidak guna tolong ban,-1
baik,baik,baik,1
udah complete harus nunggu cuma scan qr code nya tidak bisa suruh periksa jaring padahal gps internet udah oke bukti bisa order ojol buka gmaps tolong baik mau ngakses doang sampe menit banget juga tentu bisa duh,udah complete nunggu scan qr code nya tidak bisa suruh periksa jaring gps internet udah oke bukti bisa order ojol buka gmaps tolong baik ngakses doang sampe menit banget tentu bisa duh,nunggu code tidak bisa suruh periksa jaring udah oke bukti bisa order buka tolong baik doang menit banget bisa duh,-1
aplikasi bosokkk data lengkap sertifikat tidak padahal vaksin dosis,aplikasi bosokkk data lengkap sertifikat tidak vaksin dosis,aplikasi data lengkap sertifikat tidak vaksin dosis,-1
tidak scroll bagi syarat guna bijak privasi,tidak scroll syarat guna bijak privasi,tidak syarat guna bijak privasi,-1
dapat tuju tombol android sila aplikasi layar penuh otomatis fungsi,tuju tombol android sila aplikasi layar penuh otomatis fungsi,tuju tombol sila aplikasi layar penuh otomatis fungsi,-1
aplikasi keri tidak responsif sekali,aplikasi keri tidak responsif,aplikasi keri tidak responsif,-1
versi malah susah check in krn lokasi out of radius apps bisa lokasi sesuai dg qr di lokasi tp versi ini tidak bisa set lokasi walau gps on hrs kasih lihat sertifikat vaksin tidak bisa check in pakai apps pls fix it tq,versi susah check in lokasi out of radius apps bisa lokasi sesuai dg qr lokasi tp versi tidak bisa set lokasi gps on hrs kasih lihat sertifikat vaksin tidak bisa check in pakai apps pls fix it tq,versi susah lokasi radius bisa lokasi sesuai lokasi versi tidak bisa set lokasi hrs kasih lihat sertifikat vaksin tidak bisa pakai it,-1
ngatri vaksin nya banget bah berangkat jam pulang jam,ngatri vaksin nya banget bah berangkat jam pulang jam,vaksin banget bah berangkat jam pulang jam,-1
masuk mall tidak bisa scan code udh bbrapa kali update ttp tidak bisa scan kecewa aplikasi negara lho tp kes msh amatir,masuk mall tidak bisa scan code udh bbrapa kali update ttp tidak bisa scan kecewa aplikasi negara lho tp kes msh amatir,masuk tidak bisa bbrapa kali tidak bisa kecewa aplikasi negara kes amatir,-1
lot,lot,lot,0
aplikasi force close,aplikasi force close,aplikasi,-1
tidak bisa scroll bawah atas terimakasih kasih tim developer,tidak bisa scroll atas terimakasih kasih tim developer,tidak bisa terimakasih kasih tim developer,1
opsi bahasa ui mudah guna akses cepat tidak ada lagi lokasi minta saat tidak guna aplikasi,opsi bahasa ui mudah guna akses cepat tidak lagi lokasi saat tidak guna aplikasi,opsi bahasa mudah guna akses cepat tidak lokasi tidak guna aplikasi,1
terimakasih telah pecah saya,terimakasih pecah,pecah,1
bantu mudah guna terimakasih,bantu mudah guna terimakasih,bantu mudah guna,1
tidak bisa check out baru check in,tidak bisa check out check in,tidak bisa check,-1
sertifikat vaksin tidak keluar udh vaksin tapi sampe bom sertifikat kepake cuman scan kalo pergi mana,sertifikat vaksin tidak udh vaksin sampe bom sertifikat kepake cuman scan kalo pergi,sertifikat vaksin tidak vaksin bom sertifikat cuman kalo pergi,-1
aplikasi sama tidak guna pilih bahasa inggris nama itu tidak terjemah bagi paling adalah sertifikat vaksin entah dapat terjemah sertifikat perintah inggris tidak terima ini ada bahasa inggris prancis spanyol belum tidak baik memang coba hubung lalu alamat email anda tetapi saya kembali kali pasti lihat,aplikasi tidak guna pilih bahasa inggris nama tidak terjemah paling sertifikat vaksin dapat terjemah sertifikat perintah inggris tidak terima ada bahasa inggris prancis spanyol tidak baik coba hubung alamat email tetapi kembali kali lihat,aplikasi tidak guna pilih bahasa inggris nama tidak terjemah sertifikat vaksin terjemah sertifikat perintah inggris tidak terima bahasa inggris tidak baik coba hubung alamat email kembali kali lihat,-1
aplikasi terbit minta hasil pcr sudah saya laku tidak tidak riwayat pcr,aplikasi terbit hasil pcr saya laku tidak tidak riwayat pcr,aplikasi terbit hasil laku tidak tidak riwayat,0
sulit guna,sulit guna,sulit guna,-1
nice helpfull foto profil tidak bisa ganti,nice helpfull foto profil tidak bisa ganti,foto profil tidak bisa ganti,0
tidak bisa scan lokasi aplikasi tutup kali buka menu scan barcode coba install ulang tetap,tidak bisa scan lokasi aplikasi tutup kali buka menu scan barcode coba install ulang,tidak bisa lokasi aplikasi tutup kali buka menu coba ulang,-1
sulit guna,sulit guna,sulit guna,-1
update gagal check in belum baik,update gagal check in baik,gagal baik,-1
aplikasi kualitas ra therells d songs gae kelas aplikasi,aplikasi kualitas ra therells d songs gae kelas aplikasi,aplikasi kualitas songs kelas aplikasi,0
kerja baik mudah guna manfaat,kerja baik mudah guna manfaat,kerja baik mudah guna manfaat,1
tolong baik app baru donlod uda aja uda di klik tombol tuju tidak ubah sekali susah orang aja tolong baik uda juga yg protes aplikasi belum baharu yg baik gimana sih,tolong baik app donlod uda aja uda klik tombol tuju tidak ubah susah orang aja tolong baik uda protes aplikasi baharu yang baik gimana sih,tolong baik uda aja uda klik tombol tuju tidak ubah susah orang aja tolong baik uda protes aplikasi baharu baik sih,-1
oke,oke,oke,1
gud app to control covid covid should be lenyap from bumi nusantara aamiin,gud app to control covid covid should be lenyap from bumi nusantara aamiin,control be lenyap bumi nusantara,1
dev hapus ulas sertifikat covid tidak kartu anda butuh nomor,dev hapus ulas sertifikat covid tidak kartu butuh nomor,hapus ulas sertifikat tidak kartu butuh nomor,0
crash guna saat untuk ehac tolong baik,crash guna untuk ehac tolong baik,guna tolong baik,-1
notif gajenya tidak bisa ilang edit udah fix notif bugnya naikin jd bintang,notif gajenya tidak bisa ilang edit udah fix notif bugnya naikin jd bintang,tidak bisa edit bugnya bintang,-1
sangat bantu pulih bumi khusus indonesia moga lekas pulih,bantu pulih bumi khusus indonesia moga lekas pulih,bantu pulih bumi khusus indonesia moga lekas pulih,1
tidak bisa scrolling i accept ui nya tidak kompatibel beberapa hp,tidak bisa scrolling i accept ui nya tidak kompatibel hp,tidak bisa ui tidak kompatibel,-1
ehac tidak bisa ubah vehicle isi car mohon baik,ehac tidak bisa ubah vehicle isi car mohon baik,tidak bisa ubah isi mohon baik,-1
sertifikat vaksin tidak bisa udah ulang kali input nik nama tetep tidak tampil,sertifikat vaksin tidak bisa udah ulang kali input nik nama tetep tidak tampil,sertifikat vaksin tidak bisa ulang kali nik nama tidak tampil,-1
bisa sudah wajib guna aplikasi seringkali scan qr code tidak fungsi jadi hambat,bisa wajib guna aplikasi seringkali scan qr code tidak fungsi hambat,bisa wajib guna aplikasi code tidak fungsi hambat,-1
layan laknat dana sumber daya manusia korupsi orang kayak orang orang sawah kirim dalem goa kerja handphone kartu sim aja tidak tau udah kayak masuk support minta bantu jawab gatau tidak bisa udah anda aplikasi bikin jg bayar tepuk tangan doang interface kayak sampah udah,layan laknat dana sumber daya manusia korupsi orang kayak orang orang sawah kirim dalem goa kerja handphone kartu sim aja tidak tau udah kayak masuk support bantu gatau tidak bisa udah aplikasi bikin jg bayar tepuk tangan doang interface kayak sampah udah,layan laknat dana sumber daya manusia korupsi orang kayak orang orang sawah kirim dalem kerja kartu aja tidak tau kayak masuk bantu tidak bisa aplikasi bikin bayar tepuk tangan doang kayak sampah,-1
untuk kelas perintah daftar loop validasi email tidak aktif tolong developer nya program niat,kelas perintah daftar loop validasi email tidak aktif tolong developer nya program niat,kelas perintah daftar email tidak aktif tolong developer program niat,-1
update aplikasi sertifikat vaksin tidak bisa tampil,update aplikasi sertifikat vaksin tidak bisa tampil,aplikasi sertifikat vaksin tidak bisa tampil,-1
terimakasih vaksin dosis dua aplikasi sudah terang sudah dosis dua kenapa tidak bisa muncul sertifikat,terimakasih vaksin dosis aplikasi terang dosis kenapa tidak bisa muncul sertifikat,vaksin dosis aplikasi terang dosis tidak bisa muncul sertifikat,1
sy sdh selesai vaksin pd tgl okt tp sp skrg msh dpt setivikat,sy sdh selesai vaksin pd tgl okt tp sp skrg msh dpt setivikat,selesai vaksin tp dpt,-1
bagus,bagus,bagus,1
minggu error,minggu error,minggu,-1
tidak karena aplikasi check out gedung itu tidak temu cek saya dalam sejarah aplikasi seperti tidak rekam saya bisa check out tidak catat ui sederhana hebat fungsi dasar teknis rupa masalah besar aplikasi sampah,tidak aplikasi check out gedung tidak temu cek dalam sejarah aplikasi tidak rekam bisa check out tidak catat ui sederhana hebat fungsi dasar teknis rupa besar aplikasi sampah,tidak aplikasi gedung tidak temu cek sejarah aplikasi tidak rekam bisa tidak catat sederhana hebat fungsi dasar teknis rupa aplikasi sampah,-1
daftar vaksin tp nunggu otp no telp pas cek muncul email dah lewat menit coba tidak kode hdehhh,daftar vaksin tp nunggu otp no telp pas cek muncul email dah menit coba tidak kode hdehhh,daftar vaksin no pas cek muncul email dah menit coba tidak kode,-1
manfaat kontrol tekan dampak corna,manfaat kontrol tekan dampak corna,manfaat kontrol tekan dampak,1
susah nya,susah nya,susah,-1
install halaman yg syarat tentu tidak bisa scroll hp seperti semua gimanaa,install halaman syarat tidak bisa scroll hp semua gimanaa,halaman syarat tidak bisa semua,-1
admin tolong bantu ya smsnya tidak masuk hp trus pas app peduli lindung tidak muncul sertifikat vaksin ini gimana ya sdh vaksin tetulisnya sdh vaksin tolong bantu,admin tolong bantu ya smsnya tidak masuk hp trus pas app peduli lindung tidak muncul sertifikat vaksin gimana ya sdh vaksin tetulisnya sdh vaksin tolong bantu,tolong bantu tidak masuk pas peduli lindung tidak muncul sertifikat vaksin vaksin sdh vaksin tolong bantu,-1
syulid bikin ehac error,syulid bikin ehac error,bikin,-1
