comment,processed,label_manual
vaksin luar negeri verifikasi pada aplikasi sertifikat vaksin tidak muncul anda tidak milik sertifikat vaksin,vaksin asing_luar daerah_bumi_negeri_kota tes_validasi_verifikasi_konfirmasi operasi_aplikasi surat_sertifikat vaksin tak_tidak_kagak lahir_terbit_keluar_hidup_timbul_muncul tak_tidak_kagak milik surat_sertifikat vaksin,-1
applikasi tidak nih kelas perintah kog masuk aja sulit request permision udah izin bolak situ aja,applikasi tak_tidak_kagak kategori_status_jenis_tingkat_posisi_kelas tugas_order_perintah kog masuk_kena_turun_sampai aja berat_repot_sulit_payah_serius_susah request permision udah izin bolak situ aja,-1
aplikasi yg syarat seluruh nasional baru buka aplikasi registrasi aja tidak bisa scroll down setealh ceklist tuju kolom check box terms and condition ukur font setting hp ufah kecil di gimanain coba,operasi_aplikasi term_syarat_kondisi nasional_lokal aktual_mutakhir_baru_segar buka_aktif operasi_aplikasi registrasi aja tak_tidak_kagak bisa_sanggup_dapat scroll down setealh ceklist tuju kolom check box terms and condition ukur font setting hp ufah pada_di_dalam gimanain kalau_coba_jika,-1
pas lihat sertifikat vaksin ke interface daftar vaksin cek data di menu nyata sudah vaksin telah tidak menu cari sertifikat vaksin saya tadi aplikasi ini beres buat nya ribet amatt,betul_cocok_sedang_pas_kompatibel tentang_pantau_lihat_temu_kunjung surat_sertifikat vaksin interface jadwal_register_daftar vaksin cek data_statistik_informasi_fakta_bukti menu nyata_jelas vaksin tak_tidak_kagak menu cari surat_sertifikat vaksin tadi operasi_aplikasi beres_habis_putus_sempurna_baik_selesai_bagus_simpan nya ribet amatt,-1
sudah vaksin sertifikat sudah di aplikasi status vaksinasi merah ubah kuning solusi,vaksin surat_sertifikat pada_di_dalam operasi_aplikasi nama_status_kualitas_situasi_posisi_kelas vaksinasi merah pindai_ubah_ganti_pindah kuning solusi,-1
hasil pcr negatif antigen negatif status pedulilindung warna covid sulit aktifitas,hasil pcr negatif antigen negatif nama_status_kualitas_situasi_posisi_kelas pedulilindung warga_warna_kelas covid berat_repot_sulit_payah_serius_susah aktifitas,-1
kunci nikmat era,daya_kunci nikmat waktu_era_periode_masa,1
tidak bisa tampil sertifikat vaksin pas butuh,tak_tidak_kagak bisa_sanggup_dapat tampil_maju surat_sertifikat vaksin betul_cocok_sedang_pas_kompatibel butuh,-1
udah vaksin kok sertifikat vaksin tidak,udah vaksin surat_sertifikat vaksin tak_tidak_kagak,-1
sertifikat vaksin tidak d apliksi d website sdh aplikasi website tidak sinkron,surat_sertifikat vaksin tak_tidak_kagak d apliksi d website sdh operasi_aplikasi website tak_tidak_kagak sesuai_cocok_sinkron,-1
update oktober tidak bisa buka force close tipe hp asus zenfone laser android,update oktober tak_tidak_kagak bisa_sanggup_dapat buka_aktif force close tipe_versi_rupa_jenis hp asus zenfone laser android,-1
bang mohon maap aplikasi kan banget location yah kenapa fungsi dasar aja error sih aja gua mancing pake google maps biar lokasi bener apa lu permission location all the time nyadap doang,bang_mas harap_minta_mohon maap operasi_aplikasi sungguh_betul_sekali_banget_begitu_sangat location yah tugas_fungsi_manfaat_guna alas_jalan_dasar_bawah_basis_latar aja error sih_si aja gua mancing pake google maps biar posisi_lokasi_tempat bener lu permission location all the time nyadap hanya_saja_doang_juga,-1
email pedulilindungi penuh email tidak kirim,email pedulilindungi penuh_banyak_sempurna_kaya_lengkap email tak_tidak_kagak kirim,-1
saat scan code pas gps nya tidak bisa,scan code betul_cocok_sedang_pas_kompatibel gps nya tak_tidak_kagak bisa_sanggup_dapat,-1
bisa cek out terimakasih kasih,bisa_sanggup_dapat cek out terimakasih bagi_cinta_sayang_beri_kasih_prihatin,1
tombol tuju lanjut tidak muncul saya kecil font tulis saran komentar orang sudah bolak uninstall reinstall tampil,tombol tuju tak_tidak_kagak lahir_terbit_keluar_hidup_timbul_muncul halus_kecil font tulis_catat komentar_saran komentar bangsa_orang_manusia bolak uninstall reinstall tampil_maju,-1
yg wenang tolooooong tanggap email tentang aplikasi peduli lindung yg error status merah vaksin error buat sulit beraktifitas semua akifitas hrs guna aplikasi peduli lindung yg msh error saya sdh email sdh hub yg cm terimakasih keluh solusi terimakasih kasih,wenang tolooooong responsif_tanggap_peka_paham email operasi_aplikasi tahu_peduli lindung error nama_status_kualitas_situasi_posisi_kelas merah vaksin error berat_repot_sulit_payah_serius_susah beraktifitas akifitas hrs manfaat_guna_bagi_fungsi_untuk_buat operasi_aplikasi tahu_peduli lindung msh error sdh email sdh hub cm terimakasih keluh solusi terimakasih bagi_cinta_sayang_beri_kasih_prihatin,-1
tidak bisa ke isi formulir vaksin sertifikat sudah vaksin always bounch back,tak_tidak_kagak bisa_sanggup_dapat daya_isi formulir vaksin surat_sertifikat vaksin always bounch back,-1
vaksin,vaksin,0
tidak pakai lokasi terus tampil fresh kadang suka ilang tombol check out tidak opsi ganti tema dark mode hemat moga pilih,tak_tidak_kagak pakai posisi_lokasi_tempat tampil_maju fresh kadang_terkadang mau_puas_suka ilang tombol check out tak_tidak_kagak alternatif_opsi ubah_ganti tema_judul dark cara_mode_jalan_proses_sistem hemat moga_agar pilih,0
drive bagus,drive baik_bagus_keren,1
bagus,baik_bagus_keren,1
aplikasi,operasi_aplikasi,1
pantau posisi,pantau situasi_lokasi_status_tempat_kondisi_posisi_kelas,0
apk yg cool banget sukses y,apk cool sungguh_betul_sekali_banget_begitu_sangat maju_sukses y,1
paksa,paksa,-1
susah banget scan qrcode nya,berat_repot_sulit_payah_susah sungguh_betul_sekali_banget_begitu_sangat scan qrcode nya,-1
aplikasi sampah diupdate lokasi akurat internet lancar tpi tidak bisa scan qr,operasi_aplikasi sampah diupdate posisi_lokasi_tempat akurat internet halus_bijak_lancar tpi tak_tidak_kagak bisa_sanggup_dapat scan qr,-1
tombol i tuju tidak muncul aplikasi tidak bisa guna tidak bisa pls cek dengan display font,tombol i tuju tak_tidak_kagak lahir_terbit_keluar_hidup_timbul_muncul operasi_aplikasi tak_tidak_kagak bisa_sanggup_dapat manfaat_guna_bagi_fungsi_untuk_buat tak_tidak_kagak bisa_sanggup_dapat pls cek display font,-1
suka salah,mau_puas_suka meleset_cacat_salah_lupa,-1
bisa sy guna,bisa_sanggup_dapat sy manfaat_guna_bagi_fungsi_untuk_buat,1
bagus,baik_bagus_keren,1
akurasi lokasi buruk deteksi lokasi beda banding aplikasi waze,akurasi posisi_lokasi_tempat rusak_buruk_kasar_busuk_negatif_jelek_cacat deteksi posisi_lokasi_tempat beda_lain banding operasi_aplikasi waze,-1
aplikasi tidak dapat dosis status masih kuning jadi hijau dasar penting saya sudah kirim email ini tetapi tidak respons tidak pecah masalah ini penting kami giat jalan bisnis,operasi_aplikasi tak_tidak_kagak dosis nama_status_kualitas_situasi_posisi_kelas kuning hijau alas_jalan_dasar_bawah_basis_latar saya_kami kirim email tetapi tak_tidak_kagak respons tak_tidak_kagak rusak_pecah_selesai ini saya_kami giat_rajin_repot_aktif jalan bisnis,-1
susah error masa dari radius check in update aplikasi tanggal seprember sertifikat vaksin malah hilang sertifikat vaksin tidak padahal selesai vaksin dosis validitas data statistik beberapa fitur tidak relevan,berat_repot_sulit_payah_susah error tentang_dari_sejak_semenjak_pada radius check in update operasi_aplikasi tanggal_bulan_hari seprember surat_sertifikat vaksin rugi_turun_habis_pergi_hilang_hapus_tanggal_pecah_mati_lenyap surat_sertifikat vaksin tak_tidak_kagak khatam_habis_putus_sempurna_stop_selesai_lalu_pecah_jadi_lengkap vaksin dosis validitas_dasar_otoritas data_statistik_informasi_fakta_bukti statistik fitur tak_tidak_kagak relevan,-1
tolong baik yg sdh vaksin dua status aplikasi tidak ubah hubung call center tidak respon kirim email tidak di respon jujur wajib pakai aplikasi resah masyarakat,tolong_bantu ramah_ya_baik_normal_jujur_sehat_bagus_pulih_efektif_oke_enak sdh vaksin nama_status_kualitas_situasi_posisi_kelas operasi_aplikasi tak_tidak_kagak pindai_ubah_ganti_pindah hubung call center tak_tidak_kagak respon kirim email tak_tidak_kagak respon andal_jujur tentu_wajib_mesti_tetap_harus_perlu pakai operasi_aplikasi resah publik_masyarakat_bangsa_rakyat,-1
kode otp hp email tidak sampai coba kapal nabi nuh tidak kode otp pas sampe menit oadahal kobeksi cepet bravo kominfo kira dalam pinter ini aplikasi perintah umum useless andal tagline birokrasi maklum,kode_tanda_etik otp hp email tak_tidak_kagak kalau_coba_jika pesawat_kapal nabi nuh tak_tidak_kagak kode_tanda_etik otp betul_cocok_sedang_pas_kompatibel sampe menit oadahal kobeksi cepet bravo kominfo saat_di_paham_waktu_dalam_pada_ketika pinter operasi_aplikasi tugas_order_perintah useless andal_patuh_bijak_jujur tagline birokrasi paham_maklum,-1
update aplikasi malah not responding sy sdh hapus instal sama sy bisa guna aplikasi tsb memory sisa software sdh,update operasi_aplikasi not responding sy sdh lenyap_hapus_hilang instal sy bisa_sanggup_dapat manfaat_guna_bagi_fungsi_untuk_buat operasi_aplikasi tsb memory sisa_ampas software sdh,-1
aneh bgt sama tidak bisa download,asing_aneh_absurd bgt tak_tidak_kagak bisa_sanggup_dapat download,-1
masiih suka nyangkut tidak tombol check out pas scan area jadi tidak bisa check out otomatis radius,masiih mau_puas_suka nyangkut tak_tidak_kagak tombol check out betul_cocok_sedang_pas_kompatibel scan wilayah_tempat_area_daerah_zona tak_tidak_kagak bisa_sanggup_dapat check out otomatis radius,-1
aplikasi tidak bisa buka henti halaman pilih bahasa warga negara itu halaman syarat guna tidak bisa scroll mohon baharu,operasi_aplikasi tak_tidak_kagak bisa_sanggup_dapat buka_aktif jeda_henti halaman_laman pilih kode_cara_bahasa anggota_anak_keluarga_warga_orang negeri_kampung_wilayah_daerah_dunia_negara_zona halaman_laman term_syarat_kondisi manfaat_guna_bagi_fungsi_untuk_buat tak_tidak_kagak bisa_sanggup_dapat scroll harap_minta_mohon baharu,-1
saya centang box tuju syarat tentu halaman tidak bisa scroll down saya tidak bisa login,centang box tuju term_syarat_kondisi halaman_laman tak_tidak_kagak bisa_sanggup_dapat scroll down tak_tidak_kagak bisa_sanggup_dapat login,-1
lokasi deteksi aplikasi tidak,posisi_lokasi_tempat deteksi operasi_aplikasi tak_tidak_kagak,0
tidak bisa unduh sertifikat vaksin sudah vaksin,tak_tidak_kagak bisa_sanggup_dapat unduh surat_sertifikat vaksin vaksin,-1
tidak bisa check in gatau,tak_tidak_kagak bisa_sanggup_dapat check in gatau,-1
tidak bisa masuk aplikasi terima centang syarat privasi di layar tsb tidak pindah tidak di scroll,tak_tidak_kagak bisa_sanggup_dapat masuk_kena_turun_sampai operasi_aplikasi terima centang term_syarat_kondisi privasi layar tsb tak_tidak_kagak pindah tak_tidak_kagak scroll,-1
temu aplikasi sulit deteksi gps uras baterai,temu operasi_aplikasi berat_repot_sulit_payah_serius_susah deteksi gps uras baterai,-1
kecil ukur huruf bisa login klik tuju sertifikat vaksin tidak bisa harus via web,ukur huruf bisa_sanggup_dapat login klik tuju surat_sertifikat vaksin tak_tidak_kagak bisa_sanggup_dapat via_dengan web,-1
lokasi aktif saya gagal saya,posisi_lokasi_tempat sibuk_dinamis_giat_rajin_aktif gagal_rusak_kalah,-1
error tulis sertivikat vaksin tidak sedia gitu mulu,error tulis_catat sertivikat vaksin tak_tidak_kagak selesai_sedia gitu mulu,-1
aplikasi buruk tidak laku salah fatal,operasi_aplikasi rusak_buruk_kasar_busuk_negatif_jelek_cacat tak_tidak_kagak laku meleset_cacat_salah_lupa buruk_parah_berat_fatal,-1
isoman status hitam ubah,isoman nama_status_kualitas_situasi_posisi_kelas hitam_buruk pindai_ubah_ganti_pindah,-1
isi pilih kolom kendara yg guna pilih airplane ketika disubmit ubah car,daya_isi pilih kolom kendara manfaat_guna_bagi_fungsi_untuk_buat pilih airplane disubmit pindai_ubah_ganti_pindah car,-1
ngebug mulu aps,ngebug mulu aps,-1
aplikasi buruk,operasi_aplikasi rusak_buruk_kasar_busuk_negatif_jelek_cacat,-1
susah didownload,berat_repot_sulit_payah_susah didownload,-1
sehat,sehat_enak_fit_segar,1
kerja bagus guys,operasi_fungsi_kerja_aktivitas baik_bagus_keren guys,1
saya download aplikasi yg sulit buka akun yg,download operasi_aplikasi berat_repot_sulit_payah_serius_susah buka_aktif akun,-1
update reviewnya sudah ubah sesuai saran akses lokasi tidak saat hanya while in use good job pedulilindungi komentar belum baik aplikasi mungkin izin lokasi while in use whole time,update reviewnya pindai_ubah_ganti_pindah sinkron_cocok_sesuai komentar_saran akses posisi_lokasi_tempat tak_tidak_kagak tetapi_hanya_cuma_saja while in use good job pedulilindungi komentar ramah_ya_baik_normal_jujur_sehat_bagus_pulih_efektif_oke_enak operasi_aplikasi izin posisi_lokasi_tempat while in use whole time,1
tidak bagus,tak_tidak_kagak baik_bagus_keren,-1
dapat versi fungsi sederhana kode qr fungsi,tipe_versi_cara_jenis tugas_fungsi_manfaat_guna biasa_sederhana_sedang kode_tanda_etik qr tugas_fungsi_manfaat_guna,-1
harus disetting huruf dahulu keluar tuju tidak aplikasi yg ukur layar hp buat tambah sulit mohon review update kacau,disetting huruf pergi_timbul_muncul_keluar tuju tak_tidak_kagak operasi_aplikasi ukur layar hp tambah berat_repot_sulit_payah_serius_susah harap_minta_mohon review update rusak_kacau_bingung,-1
baik size tombol hp beda ukur cobaa samsung tombol aggrements privacy bawah jadi tidak bisa pencet ketika scan barcode udah saya lokasi muncul error tidak lokasi i hope the company fix this issue,ramah_ya_baik_normal_jujur_sehat_bagus_pulih_efektif_oke_enak size tombol hp beda_lain ukur cobaa samsung tombol aggrements privacy selesai_beres_jadi tak_tidak_kagak bisa_sanggup_dapat pencet scan barcode udah posisi_lokasi_tempat lahir_terbit_keluar_hidup_timbul_muncul error tak_tidak_kagak posisi_lokasi_tempat i hope the company fix this issue,-1
update versi aplikasi tidak bisa buka coba install ulang sama,update tipe_versi_cara_jenis operasi_aplikasi tak_tidak_kagak bisa_sanggup_dapat buka_aktif kalau_coba_jika install kembali_ulang,-1
guna penuh,manfaat_guna_bagi_fungsi_untuk_buat penuh_banyak_sempurna_kaya_lengkap,-1
paksa guna aplikasi tp tidak bisa pakai stuck tidak bisa masuk tidak tulis tuju nya krn tidak bisa scroll bawah dikecilin font nya android update tidak bisa kita tidak bisa terbang tidak bisa pakai aplikasi tolong solusi min,paksa manfaat_guna_bagi_fungsi_untuk_buat operasi_aplikasi tp tak_tidak_kagak bisa_sanggup_dapat pakai stuck tak_tidak_kagak bisa_sanggup_dapat masuk_kena_turun_sampai tak_tidak_kagak tulis_catat tuju nya tak_tidak_kagak bisa_sanggup_dapat scroll dikecilin font nya android update tak_tidak_kagak bisa_sanggup_dapat tak_tidak_kagak bisa_sanggup_dapat terbang tak_tidak_kagak bisa_sanggup_dapat pakai operasi_aplikasi tolong_bantu solusi min,-1
lawak kawan login susah otp tidak dapet tolong doperbaiki gausah deh ui keren nambah fitur esensial benerin percuma desain bagus tidak guna chuakz tolong ban,lawak_lucu_lelucon kawan_teman_sobat login berat_repot_sulit_payah_susah otp tak_tidak_kagak dapet tolong_bantu doperbaiki gausah deh ui keren nambah fitur penting_esensial_utama benerin desain baik_bagus_keren tak_tidak_kagak manfaat_guna_bagi_fungsi_untuk_buat chuakz tolong_bantu roda_kolom_jalan_lin_ban,-1
baik,ramah_ya_baik_normal_jujur_sehat_bagus_pulih_efektif_oke_enak,1
udah complete harus nunggu cuma scan qr code nya tidak bisa suruh periksa jaring padahal gps internet udah oke bukti bisa order ojol buka gmaps tolong baik mau ngakses doang sampe menit banget juga tentu bisa duh,udah complete nunggu scan qr code nya tak_tidak_kagak bisa_sanggup_dapat suruh_perintah cek_periksa_kontrol jaring gps internet udah oke_ya data_tanda_informasi_fakta_bukti bisa_sanggup_dapat order_perintah ojol buka_aktif gmaps tolong_bantu ramah_ya_baik_normal_jujur_sehat_bagus_pulih_efektif_oke_enak ngakses hanya_saja_doang_juga sampe menit sungguh_betul_sekali_banget_begitu_sangat tentu_tetap_positif bisa_sanggup_dapat duh,-1
aplikasi bosokkk data lengkap sertifikat tidak padahal vaksin dosis,operasi_aplikasi bosokkk data_statistik_informasi_fakta_bukti penuh_sempurna_besar_lengkap surat_sertifikat tak_tidak_kagak vaksin dosis,-1
tidak scroll bagi syarat guna bijak privasi,tak_tidak_kagak scroll term_syarat_kondisi manfaat_guna_bagi_fungsi_untuk_buat pintar_bijak privasi,-1
dapat tuju tombol android sila aplikasi layar penuh otomatis fungsi,tuju tombol android ayo_mari_sila_etik operasi_aplikasi layar penuh_banyak_sempurna_kaya_lengkap otomatis tugas_fungsi_manfaat_guna,-1
aplikasi keri tidak responsif sekali,operasi_aplikasi keri tak_tidak_kagak responsif,-1
versi malah susah check in krn lokasi out of radius apps bisa lokasi sesuai dg qr di lokasi tp versi ini tidak bisa set lokasi walau gps on hrs kasih lihat sertifikat vaksin tidak bisa check in pakai apps pls fix it tq,tipe_versi_cara_jenis berat_repot_sulit_payah_susah check in posisi_lokasi_tempat out of radius apps bisa_sanggup_dapat posisi_lokasi_tempat sinkron_cocok_sesuai dg qr posisi_lokasi_tempat tp tipe_versi_cara_jenis tak_tidak_kagak bisa_sanggup_dapat atur_perangkat_set_pasang posisi_lokasi_tempat gps on hrs bagi_cinta_sayang_beri_kasih_prihatin tentang_pantau_lihat_temu_kunjung surat_sertifikat vaksin tak_tidak_kagak bisa_sanggup_dapat check in pakai apps pls fix it tq,-1
ngatri vaksin nya banget bah berangkat jam pulang jam,ngatri vaksin nya sungguh_betul_sekali_banget_begitu_sangat bah berangkat_pergi_terbang tanda_jam kembali_pulang tanda_jam,-1
masuk mall tidak bisa scan code udh bbrapa kali update ttp tidak bisa scan kecewa aplikasi negara lho tp kes msh amatir,masuk_kena_turun_sampai mall tak_tidak_kagak bisa_sanggup_dapat scan code udh bbrapa waktu_saat_ketika_kali update ttp tak_tidak_kagak bisa_sanggup_dapat scan kesal_putus_kecewa operasi_aplikasi negeri_kampung_wilayah_daerah_dunia_negara_zona lho tp kes msh amatir,-1
lot,lot,0
aplikasi force close,operasi_aplikasi force close,-1
tidak bisa scroll bawah atas terimakasih kasih tim developer,tak_tidak_kagak bisa_sanggup_dapat scroll atas terimakasih bagi_cinta_sayang_beri_kasih_prihatin tim developer,1
opsi bahasa ui mudah guna akses cepat tidak ada lagi lokasi minta saat tidak guna aplikasi,alternatif_opsi kode_cara_bahasa ui sederhana_agar_gampang_mudah_ringan_lancar manfaat_guna_bagi_fungsi_untuk_buat akses kunjung_cepat_lekas_segera tak_tidak_kagak kembali_masih_lagi_sedang_pun_tengah_juga posisi_lokasi_tempat era_jam_saat tak_tidak_kagak manfaat_guna_bagi_fungsi_untuk_buat operasi_aplikasi,1
terimakasih telah pecah saya,terimakasih rusak_pecah_selesai,1
bantu mudah guna terimakasih,angkat_bantu_beri_tolong_dukung sederhana_agar_gampang_mudah_ringan_lancar manfaat_guna_bagi_fungsi_untuk_buat terimakasih,1
tidak bisa check out baru check in,tak_tidak_kagak bisa_sanggup_dapat check out aktual_mutakhir_baru_segar check in,-1
sertifikat vaksin tidak keluar udh vaksin tapi sampe bom sertifikat kepake cuman scan kalo pergi mana,surat_sertifikat vaksin tak_tidak_kagak udh vaksin sampe bom surat_sertifikat kepake cuman scan kalo berangkat_pergi_hilang,-1
