id,id_processed
daftar vaksin tp nunggu otp no telp pas cek muncul email dah lewat menit coba tidak kode hdehhh,-1
manfaat kontrol tekan dampak corna,1
susah nya,-1
install halaman yg syarat tentu tidak bisa scroll hp seperti semua gimanaa,-1
admin tolong bantu ya smsnya tidak masuk hp trus pas app peduli lindung tidak muncul sertifikat vaksin ini gimana ya sdh vaksin tetulisnya sdh vaksin tolong bantu,-1
syulid bikin ehac error,-1
sudah vaksin sertifikat yang peduli lindung namun aplikasi nya keluar sertifikat tolong baik,-1
mudah guna,1
baik,1
aplikasi sangat sedih bahkan tidak lihat aplikasi harus oleh perintah kirim email prihatin hadap layan langgan tidak guna tidak jawab whatsover mana anggar masuk dompet,-1
kuat telah logo pedulilindungi muncul,-1
ampas aplikasi kirim sms otp aja tidak bisa bisa udah gunta ganti make nomor juga tidak bisa,-1
trouble scan qr lokasi semenjak update aplikasi bagus versi tolong baik,-1
vaksin dosis status kuning,-1
tolong baik mau masukin nik tidak bisa tulis nya dengan ktp saya punya ktp,-1
update gagal kalau check in,-1
bisa login bas kali coba kode otp kirim nya telat kenapa check in apk pedulilindungi engga bisa kalau pakai aplikasi online shop bisa langsung check in,-1
selalu baca log in dibtempat saat scan kantor tidak opsi check out cek koneksi update tetap aplikasi belum matang,-1
aplikasi bagus,1
bagus,1
baik deh karya anak bangsa,1
aplikasi aneh dari yk pontianak pilih pesawat eh malah mobil edit pesawat tidak bisa aplikasi aneh lucu,-1
aplikasi tidak guna bikin baterai hp cepat habis,-1
ini bagus,1
telat verifikasi harus ulang verifikasi alur daftar bingung tidak tunjuk jelas,-1
buruk,-1
yoo the man datang tidak sejarah jalan berapa kali pasuk mal bangun tidak taruh gambar saya di profil,0
oke,1
jelek tolong fitur karna tiap kali buka apps tidak sesuai lokasi itu jga jdi hrus tunggu merestart location service pun appsnya,-1
lapor sert tidak out,-1
menu hasil tes covid nya hilang belum muncul,-1
apk sangat terimakasih kasih peduli,1
login guna desktop pc tidak bisa pakai login hape android android aplikasi bisa kirim otp tapi aplikasi tutup jadi tidak bisa menginputkan kode otp proses login aplikasi force close telah kirim otp buka aplikasi masuk ngirim otp force close demikian updated ubah bintang applikasi bisa pakai,-1
karya anak bangsa good job,1
desain bodoh nik dalam sistem masih untuk masuk dan bahkan orang awam tidak rancang bodoh itu,-1
app tidak asal banyak error,-1
wajib install peduli lindung tp website pcr result tidak masuk lg tidak otp tidak pagi fibandara jd,-1
gimana sih bikin aplikasi tidak test semua device android beri tanda tuju bijak tombol next nya,-1
gimana sih sdh bbrp install ulang tetep tidak bisa masuk peduli lindung emang hrs beli hp yg utk bisa masuk tolong donk dipikirin pademi kyk gin suruh beli hp daripada beli hp uang buat makan payah peduli lindung tidak mensupport rakyat yg ke liat tengah aja,-1
saat saya keluarga wna tidak pasuk status vaksinasi merah aplikasi kita sudah selesai vaksinasi sini kemlu wallough tunjuk sertifikat vaksin tetapi tidak pasuk yang tuju mungkin sertifikat vaksin guna nomor id kitas pada aplikasi pedulilindungi guna nomor paspor sudah kirim email otoritis masalah kami tidak jawab tolong ubah,-1
apps jelek sertifikat vaksin udh daftar tidak,-1
tidak akses sertifikat vaksin eventho data tunjuk vaksin saya sudah coba kali sila baik,-1
data tidak update,-1
download aplikasi tiap masuk keluar lokasi deteksi saya tidak nyala vpn tidak guna aplikasi fake gps saya coba install ulang tidak bisa,-1
problem aplikasi diinstall samsung prime lebar layar inch aplikasi jalan buka halaman tuju engga bisa discroll bawah engga bisa klik ok tuju mohon baik udah baik diupdate bintang,-1
tidak bisa download sertifikat tidak muncul nik tidak daftar,-1
aplikasi henti tidak bisa akun aplikasi langsung stop sdh coba instal ulang,-1
update versi status vaksinasi saya warna hijau karna saya vaksin dosis beda lokasi vaksinasi dosis dosis telah update versi status vaksinasi warna kuning nyata laku vaksin dosis di menu sertifikat vaksin muncul sertifikat dosis sertifikat dosis tidak sinkron menu status vaksinasi menu sertifikat vaksin,-1
gimana abis udate layar accet agreement tidak bisa scroll pikir hp layar gede ya,-1
login tidak bisa gimana,-1
hampir minggu vaksin periode tidak sms notif juga cek via tidak sertifikat hmmm,-1
ingin cek sertifikat vaksin tidak bisa,-1
saran aja kak otp sms mgkn lbih baik pindah ke wa telegram tetap guna sms mgkn request ulang otp code nya bisa ditmbahkan menit saya request otp sms tidak masuk mgkn guna kurang antri kirim sms tidak mgkn request ulang sms hapus request,0
daftar vaksin tetapi sertifikat vaksin tidak deteksi,-1
aplikasi nya lbh bagus versi notes bug pilih icon travel regulations aplikasi crash,0
update aplikasi force close susah akses,-1
ok ok,1
aplikasi bodoh,-1
ui sederhana lebih baik lebih cepat oke,1
negara bisnis rakyat,-1
perfoma tapi tampil tidak nyaman jangkau fitur opsi serasa pakai kurang nyaman,-1
susah bet bikin ehac programmer alam validasi bikin bingung user,-1
certificat vaksin tidak muncul sudah vaksin lengkap,-1
rumah sekali ke mall scan peduli lindung status hitam vaksin lama gimana ya solusi sy dan tidak bisa status nya hitam,-1
muncul notifikasi lokasi deteksi tidak pakai lokasi pake google map lokasi saya kirim email isi screenshot alamat email yg saran sudah lebih tidak baik perintah tidak yang sanggup aplikasi yg serah swasta kalau pakai tenaga asing paksa pakai sdm perintah yg tidak ingat aplikasi wajib lho kalo masuk ke banyak,-1
tidak bisa scroll,-1
saya update aplikasi pedulilindungi bersi saya bikin ehac terbang saya pilih airplane selalu ubah car preview ulang itu ini hambat proses verifikasi bandara,-1
seringkali salah rumah akun saya selalu,-1
good applikasi,1
dapat kartu hijau untuk tinggal eropa,0
tolong hilang fitur automatic check out,-1
manfaat,1
baik referensi bagus youtube channel mas kukuhaldy judul tutorial redesain aplikasi peduli lindung figma sederhana fokus butuh utama jalan singkat antri,0
daftar vaksin tidak bisa aplikasi website loading mulu di atas menit belum kelar jari signal tidak masalah dengen yang,-1
bagus,1
orang asing tinggal indonesia tidak masuk vaksinasi anda tanpa nomor nik nomor nik orang indonesia harus milik opsi nomor paspor saya tempat bahasa inggris untuk bahasa bagi masih bahasa indonesia,0
belum vaksin alas sehat baru vaksin coba daftar vaksin aplikasi saya tidak bisa telah periksa nik saya juga coba websitenya tapi tetap tidak bisa,-1
gagal check in mulu tolong baik sistem sulit doang tidak manfaat,-1
tidak terima email tiket vaksin saya coba,-1
tidak bisa payah aplikasi nya,-1
gogle tidak bisa buka aplikasi,-1
program luar,1
versi macet android versi fungsi biasa,-1
maju bantu tahan mungkin tingkat,1
tidak bisa buka hp keluar trs payah pedulilindungi,-1
bagus sederhana cepat fungsi mudah,1
gimana sih habis diupdate tidak bisa masuk sekali orang tidak bisa giamana sih ih edit developer kasih mohon baca email komplain ya situ cara perinci kenapa aplikasi tidak bisa pakai tidak ada efek soal size text hp aplikasi terus crash tolong baik orng jadi hambat aktivitas,-1
sempurna,1
parahh aplikasi nya tidak bisa buka,-1
oke bisa daftar punya akun makin keren aplikasi,1
hp samsung pro aplikasi klik tuju scroll bawah tidak bisa soluai nya,-1
salah halaman login saya terima cek daftar tidak fungsi pergi pagr tolong selesai begitu orang tidak masuk id,-1
bug benerin atuh woy bikin ehac di jenis kelamin gue naek pesawat drubah mobil dn klo gw bkin ulang tidak bisa next scan boarding pass manual udah ehacnya edit crash,-1
aplikasi buruk,-1
aplikasi bagus,1
update izin lokasi baru pakai saat aplikasi guna input validasi telah mutakhir user interface makin user friendly gerat work,1
hari jadi versi tampil baru check in lancar lihat klik menu nya cepat moga bagus ya belum checkin tidak terima checkout kaga bisa klik certificate nya main maklumsihtapikesal moga baru tidak susah check in yaaa terimakasih kasih,1
aplikasi bodoh untuk mutakhir kemudian tidak buka tingkat instal ulang aplikasi tidak buka instal ulang masih tidak buka sekarang tidak bisa pergi mana hebat,-1
kelahi,0
sms verifikasi tidak ada isi data daftar vaksin udah coba kali kali minggu coba tidak ada sms verifikasi ya tidak dong tanda kan mati nunggu masukin noror verifikasi,-1
ui ux sucks,-1
update versi lebih ringan smooth,1
satu,0
tidak bisa masuk data anggota keluarga yg,-1
salah tinggal,0
tidak unduh,-1
sudah vaksin tp status tulis vaksin wrn statusny mas merah mohon ya baik,-1
zona resiko hilang update balikin yg juga bagus dibandingin yg,-1
alam buruk pindai sangat buruk lokasi tidak aktual tolong lebih baik,-1
yawaha,0
radius maksud deh scanning aja ribet,-1
susah harus buka ulang hendak log in log out tidak praktis,-1
bagus,1
edit ehac tidak bisa padahal data yg masuk tp hasil data yg tampil salah,-1
tidak bisa masuk mentok pilih warga negara muncul term of use and privacy policy udah ceklis eh next nya bawah layar tidak bisa geser,-1
mulai baik tingkat,1
bantu,1
aplikasi bagus saya tidak bisa isi fto profil,0
bintang edit lima saat sudah update versi yg selasa pagi nov login kode otp mudah cepat saya terimakasih yg utama gps tidak aktif sudah aplikasi tutup good joob,1
alhamdulillah bagus,1
tidak info jadwal vaksin sih kesal soal,-1
bamyak fitur yg tidak fungsi,-1
tidak bisa cetak sertifikat vaksin ya di klik kali kali tombol nya tidak fungsi,-1
tolong benah aplikasi tidak kerja error akibat sulit masuk lokasi saya kerja lokasi terimakasih kasih,-1
oke,1
harus aplikasi untuk deteksi gera henti data tidak andal tampil vs reality vaksinasi tidak tampil vaksinasi aplikasi serius app fpr serius lelucon,-1
muncul no internet connection sertifikat vaksin tidak muncul sudah vaksinasi yg,-1
error jamaah bandara payah aplikasi,-1
stelah tuju and terms ceklis apa tidak tombol interaktif,-1
a mal samil,0
susah,-1
error larang pasuk gedung negatif baik aplikasi,-1
tidak bisa lihat sertifikat vaksin pedulilindungi klik check isi data tapi henti step tidak bisa ke step edit replay saya tidak temu paspor digital di halaman utama aplikasi peduli lindung saya,-1
versi tidak jalan beberapa hp androif,-1
tidak bisa download apps,-1
semenjak pelindungdiri tidak tau handphone suka restart proses buka aplikasi home lama tuju aplikasi baik dapat paham,-1
lokasi deteksi laku hal on off opsi kembang tidak guna aplikasi pikir integrasi basis data sktt nik asing milik telah pada tanggal november hanya milik lokal asing telepon ketika logoff tidak bisa masuk tokopedia gopay lebih baik dapat andal saya kirim email balik,-1
app pedulilindungi jadi praktis,1
perintah manasi aplikasi,0
telah update sertifikat vaksin ilang tidak pdhal lg butuh,-1
repot undang virus harus scan qr code lagi aplikasi d bbrp hp tidak bisa,-1
update ui jelek,-1
dah daftar vaksin app dr tp tidak pemberitahuan dan,-1
tidak lanjut tuju,-1
aplikasi noraaakk hasil positif tidak ubah pcr dgn hasil negatif susah orang aja,-1
habis vaksin tapi serifikat tidak muncul aplikasi udah masukin data ulang kali aja,-1
aplikasi tolol kadang tidak tidak bisa orang aja,-1
aplikasi jelek diupdate malah jd tidak bisa login scroll di privasi guna login tidak bisa kalo masuk wajib scan app tidak paham sih developer app niat tidak ngurus app nya krn banyak bug yg hambat app penting wajib moga lebih baik tidak kendala lg lain,-1
aplikasi buruk tolong baik aplikasi karena tidak lihat sertifikat vaksin,-1
tidak bisa lihat sertifikat vaksin klik tombol sertifikat vaksin kembali halaman periksa data,-1
semua check in nya gagal check in,-1
ba ji ngan lahhhh gua paksa donlot ginian sampahhh jan cukkk atur sial vaksin tidak,-1
malah keluarin aplikasi suruh login ulang suruh ngisi rumput kotak tuju malah tidak bisa di scroll bwah lanjut ini,-1
pilih tanggal lahir tidak praktis khusus pilih,-1
sertifikat vaksin sudah minggu tidak di web sdh,-1
update yg update performa tidak bisa login product jadi paksa kerja tri yg bener donk bikin aplikasi wajib harus dipake rakyat pake uang rakyat kualitas jelek tri kalo tidak bikin aplikasi bagus bayar swasta aja macam yg bukti,-1
ok versi sudah tidak akses gps,1
ok kdg applikasi nyangkut scab lokasi,0
mks kak,1
menginstalnya tiap kali menginstalnya salah tidak fungsi normal dan sekarang tidak dapat menginstalnya terus tunda saya tidak percaya aplikasi sampah jadi referensi selamat publik,-1
syarat guna bijak tuju kotak tuju centang layar tidak bisa dinaikkin proses mohon saran updatenya baru,-1
informasi atur jalan aplikasi update update tulis september atur aspek rasio tampil antarmuka mulai guna aplikasi tidak dinamis beberapa guna hp sulit login tidak bisa tekan tombol bawah,-1
serifikat vaksin lama vaksin ada abis vaksin sertifikat prtama ilang sertifikat tidak dpt dpt respon kasi tau liat sertifikat apa ngasi tau saya udh tau biar liat pinter gausah suruh telpon udh tidak angkat,-1
mau masuk stuck syarat guna repot,-1
tidak uda d checklist syarat ny tau tidak bisa d akhirny bisa donlod ulang,-1
sampah buka sertifikat,-1
tidak bisa login sdh bisa login,-1
tidak bisa buka aplikasi,-1
t gulir tuju tombol,-1
lokasi mulu,-1
kerja sangat baik tidak masalah sekali operasi aplikasi keren aplikasi,1
terkadang acau,-1
aplikasi buruk pernah,-1
cepat mudah guna simpel tidak makan memori,1
aplikasi apa yg vaksin luar negeri guna passport mau data pedulilindungin yg nongol suruh masuk nik ada pilih nik passport pikir rakyat indonesia di dal negeri baik itu aplikasi nya warga indonesia yg luar negeri bisa transfer data vaksin guna passport suruh masuk nik gimana yg vaksin guna passport masak kita harus vaksin ulang guna nik gitu,-1
tidak guna,-1
travel regulationnya tolong update min tampil yg sederhana bagus,1
aplikasi nya tidak bisa scroll,-1
sertifikat vaksin tidak temu krn nik salah vaksin bisa access sertifikat nik mah nomor hp betul aktif hari telah vaksin trnyata data salah aneh telp cs sibuk tidak bisa kirim whatsapp adu jg tidak jawab bulan sampai skarang tolong serius tanggap dan tunggu solusi terimakasih,-1
guna telah tuju syarat tombol login sign up tidak terimakasih kasih,-1
signal,0
hasil test covid aplikasi hilang jadi bagi sy waktu chekin maskapai untung sy screen shoot hasil testnya,-1
terupdate otorisasi update tampil ubah total makin susah scan qr code nya fail terus scan qr semenjak update,-1
tidak bisa hp layar inci suruh klik i tuju tuju layar tidak bisa geser atas tidak bisa klik bad design,-1
accept button nya manaaaa pilih warga negara tombol nya tidak ngawur regulasi yg susah kerja org,-1
aplikasi buruk sudah coba konfirmasi saya vaksinasi aplikasi terus saya konfirmasi,-1
susah,-1
tidak unduh sertifikat vaksin ketika laku periksa kartu id status valid absurd bodoh guna standar nasional harap dan basis data anda dan buat ui lebih baik tidak otp dan dengan login lansia tidak paham,-1
tidak bisa operasi,-1
anjing baik,0
useless perbaikin bugnya tidak bisa daftar gajelas,-1
error,-1
kerja sementara tetapi selalu merah tidak vaksinasi tetapi bawah status vac?ne dua sertifikat,0
tidak bisa download sertifikat,-1
kali ingin check out tempat keluar aplikasi ketika kembali aplikasi tidak check out tempat saya nyala lokasi ot bahwa sesuatu salah lokasi dan juga kode otp kirim pesan selalu lambat,-1
tolong guna padan bahasa indonesia istilah asing scan pindai home beranda diary hari qr code kode qr terimakasih kasih guna riwayat history,0
otp otp otp otp otp otp,0
tidak bisa masuk tanggal lahir,-1
user experience nyaman,-1
oke,-1
tidak bisa scroll bawah klik tuju buat daftar baik bug nya,-1
maaf beri bintang krn saya scroll bawah tuju syarat bijak tidak bis stagnan situ mohon solusi bila sya buka aplikasi peduli lindung minta ulang status wn cape dehhh,-1
perlu aktif lokasi guna respons otp lama,-1
bad adalah bbrp kendala suka check out baru check in check out mau check in tp gagal krn titik lokasi tidak lokasi lokasi diupdate tolong baik ya,-1
eh tolong hasil downloadan sertifikat vaksin direct keman ya kasih tau harus nyari ngecekin folder,-1
error running app bikin data boros permission nya bikin data bocor,-1
tidak kerja,-1
kontak email tidak fungsi sertifikat vaksin hanya data sudah selesai vaksin bulan lalu,-1
logout paksa gagal scan qr pesan sesi habis mau login tidak bisa mentok layar tuju guna user agreement centang tuju tp tidak ubah tombol next pindah laman juga tidak kalau app emg belum stabil tidak bilang sudah update sudah update yg baru benerin tidak banyak cingcong wajib make tp tidak bener,-1
update aplikasi malah tidak bisa akses aplikasi sekali anggap daftar terang salah sila coba bagaimana solusi update nov wib coba daftar ulang gagal mohon baik karena menganggu saya update nov wib aplikasi sudah bisa guna baik terimakasih kasih,-1
notifikasi hilang udah ulang kali restart tetep tidak muncul check in tidak bisa bilang tidak radius posisi dan barcodenya mas deketan masih bisa scan tidak bisa scan barcode hmmm,-1
sering error nya pada fungsi,0
payah bgt aplikasi dipake scan location tidak terus sinyal bagus location hp udh bener mesti ulang kali saya pagi kalo check in kantor baru tidak ini aplikasi,-1
henti fortunetly,-1
tolong tingkat itu scan qr tengah mati scan kode tulis radius tiap saya via qr,-1
tb logout sndri aplikasi babi,-1
download ingin daftar tidak bisa muncul salah coba telah coba tidak bisa harus gimanaaa,-1
aplikasi tidak bisa guna scan barcode kuota tapi tidak bisa check in cek bukti vaksin minta isi nik data isi lengkap isi ulang malah notif salah padahal data nik yg masuk lengkap,-1
udah akun selalu masuk login sudah pakai email yg daftar tidak bisa login,-1
ca even login to this app keep saying salah silah coba,-1
salah waktu coba masuk usaha pindai barcode selalu pemberitahuan habis radius istana posisi benar google map dan tidak buka aplikasi jadi saya uninstalasi dan putar ulang di ponsel saya tetapi saya tidak bisa verifikasi email email saya begitu banyak yang coba dan gagal baik,-1
beban aplikasi adalah lambat,-1
tidak masuk ubah perangkat,-1
