comment,label,tokenized
"tanggal lahir panjang bener untuk di buka, apalagi yang tahun 1981. . hmmmm",-1,tanggal lahir bener buka hmmmm
tq,1,tq
aplikasi sngt bgussssssss??????????????????????,1,aplikasi sngt bgussssssss
"saya sudah di vaksin 2 kali tapi sampai saat ini saya tdk bisa mencetak sertifikat nya padahal ortu saya sudah bisa di cetak duluan dan tertera bentuk sertifikat nya ini dalam satu aplikasi dan no hp yg sama, bagaimana solusinya, terimakasih",-1,vaksin 2 kali tdk cetak sertifikat nya ortu cetak duluan tera bentuk sertifikat nya aplikasi hp yg solusi terimakasih
aplikasi ??,0,aplikasi
rumit,1,rumit
saya sudah mencoba untuk login dengan no hp saya. namun saat sudah di bagian proses mengaktifkan lokasi saya kembali ke layar info aplikasi peduli lindungi. tolong adakah saran untuk mengatasinya?,-1,coba login hp proses aktif lokasi layar info aplikasi peduli lindung tolong ada saran atas
sangat membantu praktis dan mudah..,1,bantu praktis
cukup membantu,1,bantu
sgt bagus sertifikat vaksinasi kita ad di sini,1,sgt bagus sertifikat vaksinasi ad
saya kasi bintang 4 karna saya masi bingung mau kasih binta 5 soalnya untuk scan qr nya gelap gimna mau scanya klau sayan berpergian,1,kasi bintang 4 karna mas bingung kasih binta 5 scan qr nya gelap gimna scanya klau sayan pergi
gak jelas aplikasi sering eror,-1,gak aplikasi eror
sudah vaksin tp sertifikat belum muncul,1,vaksin tp sertifikat muncul
"bug trus ketika mendaftar, segala solusi sudah digunakan",1,bug trus daftar solusi
sukaaa ??,1,sukaaa
sangat berfungsi,1,fungsi
