comment,id,en,id_processed,en_processed,label_manual,svm_id,svm_en
"applikasi nggak jelas nih, sekelas pemerintah, kog mau masuk aja sulit, request permision, udah diizinkan, bolak balik disitu aja","applikasi nggak jelas nih, sekelas pemerintah, kog mau masuk aja sulit, request permision, udah diizinkan, bolak balik disitu aja","applications are not clear, the government class, i want to enter it difficult, request permissions, already allowed, alternating there just",,,-1,,
"aplikasi yg menjadi syarat di seluruh nasional tapi baru buka aplikasi mau registrasi aja ngga bisa scroll down setealh ceklist 'saya setuju' di kolom check box terms and condition. ukuran font di setting hp ufah paling kecil, mau di gimanain lagi coba?","aplikasi yg menjadi syarat di seluruh nasional tapi baru buka aplikasi mau registrasi aja ngga bisa scroll down setealh ceklist 'saya setuju' di kolom check box terms and condition. ukuran font di setting hp ufah paling kecil, mau di gimanain lagi coba?","the application that is becoming a condition throughout the national but just open the application to register, it can't be able to scroll down setealh checklist 'i agree' in the check box terms and condition column. the font size in the smallest cellphone settings, want to try again?",,,-1,,
"ini pas mau melihat sertifikat vaksin kok ke interface pendaftaran vaksin? setelah saya cek data saya di menu tadi, ternyata saya sudah divaksin, dan setelah itu tidak ada menu untuk cari sertifikat vaksin saya tadi. aplikasi apaan ini? yang beres dong buat nya. ribet amatt","ini pas mau melihat sertifikat vaksin kok ke interface pendaftaran vaksin? setelah saya cek data saya di menu tadi, ternyata saya sudah divaksin, dan setelah itu tidak ada menu untuk cari sertifikat vaksin saya tadi. aplikasi apaan ini? yang beres dong buat nya. ribet amatt","this is when you want to see the vaccine certificate to the vaccine registration interface? after i checked my data on the menu, it turned out i was vaccinated, and after that there was no menu to find my vaccine certificate earlier. this fuck application? which is wrong for him. ribet arts",,,-1,,
"saya sudah vaksin pertama, sertifikat pun sudah ada di aplikasi, tapi status vaksinasinya masih merah, belum berubah jadi kuning. minta solusi dong.","saya sudah vaksin pertama, sertifikat pun sudah ada di aplikasi, tapi status vaksinasinya masih merah, belum berubah jadi kuning. minta solusi dong.","i have the first vaccine, the certificate is already in the application, but the status of the vaccination is still red, has not turned yellow. request a solution.",,,-1,,
"kenapa hasil pcr negatif, antigen negatif tapi status di pedulilindung warna hitam/terkena covid. mempersulit aktifitas saya.","kenapa hasil pcr negatif, antigen negatif tapi status di pedulilindung warna hitam/terkena covid. mempersulit aktifitas saya.","why the results of pcr are negative, the antigen is negative but the status is black / hit by covid. make it difficult for my activities.",,,-1,,
its my key of enjoying this era :),ini kunci saya menikmati era ini :),its my key of enjoying this era :),,,1,,
"gak bisa tampilkan sertifikat vaksin, pas lagi butuh","gak bisa tampilkan sertifikat vaksin, pas lagi butuh","can't show the vaccine certificate, right now it takes",,,-1,,
"udah vaksin, tapi kok sertifikat vaksinnya ga muncul2","udah vaksin, tapi kok sertifikat vaksinnya ga muncul2","already vaccine, but how come the vaccine certificate doesn't appear",,,-1,,
sertifikat vaksin saya tidak ada d apliksi. sedangkan d website sdh ada. aplikasi dan website tidak sinkron.,sertifikat vaksin saya tidak ada d apliksi. sedangkan d website sdh ada. aplikasi dan website tidak sinkron.,i have no vaccine certificate. whereas the website has existed. applications and websites are not synchronous.,,,-1,,
"update 19 oktober 2021 malah ga bisa dibuka, selalu force close. tipe hp asus zenfone 2 laser, android 5.0.2","update 19 oktober 2021 malah ga bisa dibuka, selalu force close. tipe hp asus zenfone 2 laser, android 5.0.2","update october 19 2021 in fact, it can't be opened, always force close. asus zenfone 2 laser hp type, android 5.0.2",,,-1,,
"bang, mohon maap nih. aplikasi ini kan perlu banget location yah. tapi kenapa fungsi paling mendasar itu aja masih eror sih? masih aja gua harus mancing pake google maps dulu biar lokasi bener. buat apa lu minta permission location all the time? buat nyadap doang?","bang, mohon maap nih. aplikasi ini kan perlu banget location yah. tapi kenapa fungsi paling mendasar itu aja masih eror sih? masih aja gua harus mancing pake google maps dulu biar lokasi bener. buat apa lu minta permission location all the time? buat nyadap doang?","bang, please maap. this application is really necessary to locate it. but why is the most basic function still still error? still i have to fish using google maps first so that the location is really. what are you asking for the permission location all the time? make it around?",,,-1,,
"email pedulilindungi penuh, jadi email saya tidak terkirim....bagaimana ini?","email pedulilindungi penuh, jadi email saya tidak terkirim....bagaimana ini?","full email protector, so my email is not sent ... how is this?",,,-1,,
kenapa saat mau scan code pas gps nya selalu ga bisa?,kenapa saat mau scan code pas gps nya selalu ga bisa?,why when i want to scan the code after the gps always can't?,,,-1,,
"sudah bisa...cek out, terima kasih","sudah bisa...cek out, terima kasih","can already ... check out, thank you",,,1,,
"tombol setuju untuk lanjut tidak muncul, padahal saya sudah mengecilkan font tulisan seperti saran di komentar orang lain. sudah bolak balik uninstall dan reinstall. tapi tampilan sama.","tombol setuju untuk lanjut tidak muncul, padahal saya sudah mengecilkan font tulisan seperti saran di komentar orang lain. sudah bolak balik uninstall dan reinstall. tapi tampilan sama.","the agreed button to continue does not appear, even though i have reduced the writing font like suggestions in other people's comments. already alternating uninstall and reinstall. but the same appearance.",,,-1,,
"bapak2/ ibu2 yg berwenang tolooooong ditanggapi email saya tentang aplikasi peduli lindung yg eror status saya merah padahal saya sudah vaksin, eror ini membuat saya sulit beraktifitas karena semua akifitas hrs menggunakan aplikasi peduli lindungi yg msh error saya sdh email dan sdh hub 119( yg cm terima keluhan tanpa solusi) terima kasih","bapak2/ ibu2 yg berwenang tolooooong ditanggapi email saya tentang aplikasi peduli lindung yg eror status saya merah padahal saya sudah vaksin, eror ini membuat saya sulit beraktifitas karena semua akifitas hrs menggunakan aplikasi peduli lindungi yg msh error saya sdh email dan sdh hub 119( yg cm terima keluhan tanpa solusi) terima kasih","father2 / mothers who are responded to to the toloooooong respond to my email about the protected application that is the error of my status red even though i have a vaccine, this error makes me difficult to do activities because all the activities of hrs use the application care about protecting me error i have email and hub 119 (which cm accept complaints without solutions) thank you",,,-1,,
kenapa tidak bisa lanjut ke isi formulir vaksin sertifikat ? padahal sudah vaksin 2x; always bounch back.,kenapa tidak bisa lanjut ke isi formulir vaksin sertifikat ? padahal sudah vaksin 2x; always bounch back.,why can't it continue to fill out the certificate vaccine form? even though it's a 2x vaccine; always bounch back.,,,-1,,
vaksin,vaksin,vaccine,,,0,,
(+) tidak harus pakai lokasi terus menerus (+) tampilan lebih fresh (-) kadang suka ilang tombol check out 😂 (-) gak ada opsi ganti tema (dark mode = hemat) moga ditambahkan pemilihan theme..,(+) tidak harus pakai lokasi terus menerus (+) tampilan lebih fresh (-) kadang suka ilang tombol check out 😂 (-) gak ada opsi ganti tema (dark mode = hemat) moga ditambahkan pemilihan theme..,(+) don't have to use a continuous location (+) the appearance of more fresh (-) sometimes like the check out button 😂 (-) there is no change option theme (dark mode = save) moga added theme selection ..,,,0,,
nice aja,drive yang bagus.,nice drive,,,1,,
good,bagus,good,,,1,,
good app..👍,aplikasi yang bagus..👍,good app..👍,,,1,,
terpantau posisinya,terpantau posisinya,monitored position,,,0,,
"apk yg cool banget,,,sukses y","apk yg cool banget,,,sukses y",the apk is very cool ... successful y,,,1,,
pemaksaan,pemaksaan,coercion,,,-1,,
susah banget scan qrcode nya ..,susah banget scan qrcode nya ..,it's really hard to scan the qrcode ...,,,-1,,
"aplikasi sampah. sudah diupdate, lokasi akurat, internet lancar tpi tidak bisa scan qr.","aplikasi sampah. sudah diupdate, lokasi akurat, internet lancar tpi tidak bisa scan qr.","waste application. it has been updated, accurate location, smooth internet tpi cannot scan qr.",,,-1,,
tombol i agree tidak muncul diawal. aplikasi tidak bisa digunakan atau tidak bisa masuk/login... pls cek. -masalah teratasi dengan pengecilan display dan font,tombol i agree tidak muncul diawal. aplikasi tidak bisa digunakan atau tidak bisa masuk/login... pls cek. -masalah teratasi dengan pengecilan display dan font,the i agree button does not appear at the beginning. the application cannot be used or cannot enter / login ... pls check. -the is overcome with display reduction and fonts,,,-1,,
suka error,suka kesalahan,likes error,,,-1,,
blm bisa sy pergunakan,blm bisa sy pergunakan,i can't use it,,,0,,
good,bagus,good,,,1,,
"the location accuracy is bad enough, i'm detected on different location compared to waze app","akurasi lokasi cukup buruk, saya terdeteksi di lokasi yang berbeda dibandingkan dengan aplikasi waze","the location accuracy is bad enough, i'm detected on different location compared to waze app",,,-1,,
"this application not update, i'm already got 2nd dose but my status still ""yellow"" suppose to be ""green"". this issue very basic and important. i'm already email for this issue but no response and no problem solving. this is very important to us for bussiness trip activity.","aplikasi ini tidak diperbarui, saya sudah mendapat dosis ke-2 tetapi status saya masih ""kuning"" misalkan menjadi ""hijau"". masalah ini sangat mendasar dan penting. saya sudah mengirim email untuk masalah ini tetapi tidak ada respons dan tidak ada pemecahan masalah. ini sangat penting bagi kami untuk kegiatan perjalanan bisnis.","this application not update, i'm already got 2nd dose but my status still ""yellow"" suppose to be ""green"". this issue very basic and important. i'm already email for this issue but no response and no problem solving. this is very important to us for bussiness trip activity.",,,-1,,
"nyusahin! eror terus. masa jauh dari radius tiap check in!! di update aplikasinya tanggal 9 seprember 2021, sertifikat vaksin pertama malah hilang! sertifikat vaksin ke-2 juga tidak ada. padahal sudah selesai vaksin sampai dosis 2. validitas data statistik dipertanyakan. beberapa fitur tidak relevan.","nyusahin! eror terus. masa jauh dari radius tiap check in!! di update aplikasinya tanggal 9 seprember 2021, sertifikat vaksin pertama malah hilang! sertifikat vaksin ke-2 juga tidak ada. padahal sudah selesai vaksin sampai dosis 2. validitas data statistik dipertanyakan. beberapa fitur tidak relevan.","sure! error continues. the distance from the radius of each check in !! update the application on 9th september 2021, the first vaccine certificate is missing! the second vaccine certificate also does not exist. even though the vaccine has finished until the dose 2. validity of the statistical data is questioned. some features are irrelevant.",,,-1,,
"tolong lah perbaikan, banyak yg sdh vaksin ke dua tapi di status aplikasi tdk berubah, menghubungi call center juga tdk ada respon, kirim email juga tdk di respon, sejujurnya kewajiban memakai aplikasi ini meresahkan masyarakat,","tolong lah perbaikan, banyak yg sdh vaksin ke dua tapi di status aplikasi tdk berubah, menghubungi call center juga tdk ada respon, kirim email juga tdk di respon, sejujurnya kewajiban memakai aplikasi ini meresahkan masyarakat,","please repair, a lot of the second vaccine but in the status of the application does not change, contact the call center and no response, send an email is also not responded, to be honest in the obligation to use this application troubling the community,",,,-1,,
"kode otp ke hp dan email tidak pernah sampai walaupun dicoba berkali-kali, hingga kapal nabi nuh datangpun tidak ada kode otp. pas sampe hampir 2 menit oadahal kobeksi cepet. bravo kominfo! saya kira di dalamnya orang-orang pinter semua, ini hanyalah aplikasi pemerintah pada umumnya, useless dan mengandalkan tagline birokrasi 'harap maklum'.","kode otp ke hp dan email tidak pernah sampai walaupun dicoba berkali-kali, hingga kapal nabi nuh datangpun tidak ada kode otp. pas sampe hampir 2 menit oadahal kobeksi cepet. bravo kominfo! saya kira di dalamnya orang-orang pinter semua, ini hanyalah aplikasi pemerintah pada umumnya, useless dan mengandalkan tagline birokrasi 'harap maklum'.","the otp code to cellphone and email has never arrived even though it was tried many times, until the prophet noah ship came no otp code. when i arrived at almost 2 minutes of odahal cpet cobect. bravo kominfo! i think it's all smart people, this is just a government application in general, useless and relying on the bureaucratic tagline 'please understand'.",,,-1,,
"begitu update aplikasi terbaru malah ""not responding"". sy sdh bolak/i hapus dan instal, masih sama. bagaimana sy bs menggunakan aplikasi tsb? memory tersisa banyak. software sdh ter-update.","begitu update aplikasi terbaru malah ""not responding"". sy sdh bolak/i hapus dan instal, masih sama. bagaimana sy bs menggunakan aplikasi tsb? memory tersisa banyak. software sdh ter-update.","once update the latest application instead ""not responding"". sdh alternating / i delete and install it, still the same. how can i use the application? many remaining memory. sdh software is updated.",,,-1,,
"aneh bgt, masa sama sekali gabisa di download","aneh bgt, masa sama sekali gabisa di download","strange, the time at all can't be downloaded",,,-1,,
"masiih suka nyangkut, tidak ada tombol check out. pas scan di area lain jadi tidak bisa, seharusnya check out otomatis dalam radius tertentu","masiih suka nyangkut, tidak ada tombol check out. pas scan di area lain jadi tidak bisa, seharusnya check out otomatis dalam radius tertentu","macaiih likes to be stuck, no check out button. when you scan in another area so it can't, it should check out an automatic in a certain radius",,,-1,,
"aplikasi tidak bisa dibuka, hanya berhenti di halaman pilihan bahasa & warga negara, selain itu juga halaman syarat & penggunaan tidak bisa di scroll keatas, mohon diperbaharui.","aplikasi tidak bisa dibuka, hanya berhenti di halaman pilihan bahasa & warga negara, selain itu juga halaman syarat & penggunaan tidak bisa di scroll keatas, mohon diperbaharui.","the application cannot be opened, just stops on the language & citizen choice page, besides that also the terms & use page cannot be scrolled up, please be renewed.",,,-1,,
"setelah saya memberi centang pada box persetujuan syarat dan ketentuan, halaman tidak bisa di scroll down sehingga saya tidak bisa login","setelah saya memberi centang pada box persetujuan syarat dan ketentuan, halaman tidak bisa di scroll down sehingga saya tidak bisa login","after i check the terms and conditions' approval box, the page cannot be scrolled down so i can't login",,,-1,,
lokasi buatan terdeteksi. dan aplikasi pun tidak berfungsi..,lokasi buatan terdeteksi. dan aplikasi pun tidak berfungsi..,artificial location is detected. and the application doesn't work ...,,,0,,
saya tidak bisa mengunduh sertifikat vaksin padahal sudah vaksin kedua,saya tidak bisa mengunduh sertifikat vaksin padahal sudah vaksin kedua,i can't download the vaccine certificate even though it's a second vaccine,,,-1,,
sering gabisa check in gatau kenapa,sering gabisa check in gatau kenapa,often can't check in or why,,,-1,,
"tidak bisa masuk ke aplikasi setelah menerima (centang) syarat privasi!! tetap di layar tsb tidak dapat berpindah, dan tidak dapat di scroll","tidak bisa masuk ke aplikasi setelah menerima (centang) syarat privasi!! tetap di layar tsb tidak dapat berpindah, dan tidak dapat di scroll","cannot enter the application after receiving (check) privacy requirements !! stay on the screen tsb cannot move, and cannot be scrolled",,,-1,,
i find this app is difficult to detect gps and draining my battery,saya menemukan aplikasi ini sulit untuk mendeteksi gps dan menguras baterai saya,i find this app is difficult to detect gps and draining my battery,,,-1,,
harus mengecilkan ukuran huruf agar bisa login untuk klik setuju. serta sertifikat vaksin tidak bisa di akses/tampil. harus via web,harus mengecilkan ukuran huruf agar bisa login untuk klik setuju. serta sertifikat vaksin tidak bisa di akses/tampil. harus via web,must reduce the size of the letter so you can log in to click agree. and vaccine certificates cannot be accessed / appear. must via web,,,-1,,
"location is active, but i often fail when i check in","lokasi aktif, tetapi saya sering gagal ketika saya check-in","location is active, but i often fail when i check in",,,-1,,
"sering eror, tulisan sertivikat vaksin tidak tersedia, gitu mulu","sering eror, tulisan sertivikat vaksin tidak tersedia, gitu mulu","often errors, vaccine activated writings are not available, so mulu",,,-1,,
worst apps do nothing error fatal,aplikasi terburuk tidak melakukan kesalahan yang fatal,worst apps do nothing error fatal,,,-1,,
sudah isoman tapi status hitam belum berubah juga,sudah isoman tapi status hitam belum berubah juga,already isan isan but the black status hasn't changed too,,,-1,,
"saat mengisi e-hac dan memilih di kolom kendaraan yg digunakan, pilih airplane tapi ketika akan disubmit malah berubah jadi car.","saat mengisi e-hac dan memilih di kolom kendaraan yg digunakan, pilih airplane tapi ketika akan disubmit malah berubah jadi car.","when filling out e-hac and choosing in the vehicle column used, select airplane but when it will be submitted instead it turns into a car.",,,-1,,
ngebug mulu nih aps,ngebug mulu nih aps,ngebug mulu nih aps,,,-1,,
bad app,aplikasi yang buruk,bad app,,,-1,,
susah didownload,susah didownload,it's hard to download,,,-1,,
healthy,sehat,healthy,,,1,,
good job guys....,kerja bagus guys ....,good job guys....,,,1,,
setelah saya download aplikasi yg baru kesulitan buka akun yg lama,setelah saya download aplikasi yg baru kesulitan buka akun yg lama,after i download the new application it has difficulty opening an old account,,,-1,,
"saya update reviewnya karena sudah mengubah sesuai saran agar akses lokasi tidak setiap saat, tetapi hanya while in use. good job pedulilindungi. ini komentar saya sebelumnya: sebaiknya aplikasi ini memungkinkan izin lokasi while in use. bukan whole time.","saya update reviewnya karena sudah mengubah sesuai saran agar akses lokasi tidak setiap saat, tetapi hanya while in use. good job pedulilindungi. ini komentar saya sebelumnya: sebaiknya aplikasi ini memungkinkan izin lokasi while in use. bukan whole time.","i updated the review because it has changed according to the suggestion so that location access is not at any time, but only while in use. good job pedulous. this is my previous comment: this application should allow the location permissions while in use. not a whole time.",,,1,,
gak bagus,gak bagus,not good,,,-1,,
"finally get the working, simple version. the qr code also works.",akhirnya dapatkan versi yang berfungsi dan sederhana. kode qr juga berfungsi.,"finally get the working, simple version. the qr code also works.",,,-1,,
kenapa harus disetting huruf terlebih dahulu agar keluar saya setujunya. ? kenapa tidak aplikasi yg mengikuti ukuran layar hp ? jgn membuat jadi tambah sulit .. mohon review lgi.. makin update makin kacau,kenapa harus disetting huruf terlebih dahulu agar keluar saya setujunya. ? kenapa tidak aplikasi yg mengikuti ukuran layar hp ? jgn membuat jadi tambah sulit .. mohon review lgi.. makin update makin kacau,why must be set first letters to come out as well as. later? why isn't an application that follows the cellphone screen size? don't make it make it more difficult ... please review it ... the update is getting chaotic,,,-1,,
perbaiki size tombolnya . tiap hp beda ukuran saya cobaa di samsung j7 tombol aggrements & privacy ada dibawah sendiri jadi tidak bisa dipencet. sama ketika scan barcode udah jelas saya di lokasi malah muncul error sedang tidak ada dilokasi. i hope the company fix this issue.,perbaiki size tombolnya . tiap hp beda ukuran saya cobaa di samsung j7 tombol aggrements & privacy ada dibawah sendiri jadi tidak bisa dipencet. sama ketika scan barcode udah jelas saya di lokasi malah muncul error sedang tidak ada dilokasi. i hope the company fix this issue.,"fix the size button. each hp different size i try on the samsung j7 aggrement & privacy button is below itself so it can't be pressed. the same when the barcode scan was clear, i was on the location instead the error appeared while there was no location. i hope the company fix this issue.",,,-1,,
